recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2026-03-24,202603,3,office,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Banana,0,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Banana,64,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Banana,109,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Blueberry,,,,,,,,,,,,,4,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Blueberry,174,,,,,,,,,,,,2,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Blueberry,68,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Blueberry,90,,,,,,,,,,,,2,,
2026-03-24,202603,3,office,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),(パチ) Blueberry,0,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),(パチ) Blueberry,261,,,,,,,,1,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Blueberry Vanilla Ice Cream,0,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Cardamom,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Cardamom,176,,,,,,,,12,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Cardamom,53,,,,,,,,12,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Cardamom,208,,,,,,,,12,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Chocolate,0,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Cinnamon,,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Cinnamon,225,,,,,,,,,,,,1,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Cinnamon,76,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Cinnamon,107,260,,,,,,,,,,,1,,
2026-03-24,202603,3,office,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Citrus With Mint,0,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Coconut,,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Coconut,222,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Coconut,168,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Coconut,170,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Grenadine,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Grenadine,209,,,,,,,,2,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Grenadine,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Grenadine,11,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Guava,,,,,,,,,,,,,5,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Guava,221,,,,,,,,,,,,2,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Guava,260,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Guava,131,148,,,,,,,,,,,1,,
2026-03-24,202603,3,office,AF (Al Fakher),Gum With Mint,,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Gum With Mint,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Gum With Mint,111,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Gum With Mint,170,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Kiwi,,,,,,,,,,,,,5,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Kiwi,228,,,,,,,,,,,,1,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Kiwi,69,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Kiwi,205,,,,,,,,,,,,2,,
2026-03-24,202603,3,office,AF (Al Fakher),Mint,,,,,,,,,,,,,2,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Mint,92,286,,,,,,,,,,,2,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Mint,242,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Mint,42,254,,,,,,,,,,,1,,
2026-03-24,202603,3,office,AF (Al Fakher),(パチ) Mint,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),(パチ) Mint,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),(パチ) Mint,9,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),(パチ) Mint,41,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Orange,,,,,,,,,,,,,2,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Orange,270,,,,,,,,,,,,1,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Orange,240,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Orange,110,259,,,,,,,,,,,1,,
2026-03-24,202603,3,office,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Peach,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Peach,59,,,,,,,,,,,,2,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Peach,141,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Peach,126,,,,,,,,,,,,1,,
2026-03-24,202603,3,office,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Rose,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Rose,224,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Rose,290,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Rose,213,,,,,,,,2,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Two Apples,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Two Apples,124,280,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Two Apples,279,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Two Apples,189,0,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),Vanilla,,,,,,,,,,,,,2,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),Vanilla,114,,,,,,,,,,,,2,,
2026-03-26,202603,3,nakano,AF (Al Fakher),Vanilla,223,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),Vanilla,94,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AF (Al Fakher),(パチ) Watermelon,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AF (Al Fakher),(パチ) Watermelon,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AF (Al Fakher),(パチ) Watermelon,60,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AF (Al Fakher),(パチ) Watermelon,127,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AZ (Afzal),Earlgray,,,,,,,,,,,,,7,,
2026-03-23,202603,3,baba_main,AZ (Afzal),Earlgray,134,196,,,,,,,9,,,,,,
2026-03-26,202603,3,nakano,AZ (Afzal),Earlgray,116,,,,,,,,,,,,1,,
2026-03-23,202603,3,baba_2nd,AZ (Afzal),Earlgray,46,215,,,,,,,4,,,,,,
2026-03-24,202603,3,office,AZ (Afzal),Gingerale,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AZ (Afzal),Gingerale,49,,,,,,,,5,,,,,,
2026-03-26,202603,3,nakano,AZ (Afzal),Gingerale,245,,,,,,,,5,,,,,,
2026-03-23,202603,3,baba_2nd,AZ (Afzal),Gingerale,75,209,,,,,,,2,,,,,,
2026-03-24,202603,3,office,AZ (Afzal),Lychee,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AZ (Afzal),Lychee,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AZ (Afzal),Lychee,38,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZ (Afzal),Lychee,13,,5,,,,,,,,,,,,
2026-03-24,202603,3,office,AZ (Afzal),Pan Raas,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AZ (Afzal),Pan Raas,,,7,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AZ (Afzal),Pan Raas,,,7,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZ (Afzal),Pan Raas,,,5,,,,,,,,,,,,
2026-03-24,202603,3,office,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AZR GOLD (Azure Gold Line),Alaskan Ice,,,,,,,,,,110,,,,,
2026-03-23,202603,3,baba_main,AZR GOLD (Azure Gold Line),Alaskan Ice,63,266,,5,,,,,,3,,,,,
2026-03-26,202603,3,nakano,AZR GOLD (Azure Gold Line),Alaskan Ice,78,204,,4,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZR GOLD (Azure Gold Line),Alaskan Ice,198,229,,5,,,,,,3,,,,,
2026-03-24,202603,3,office,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AZR GOLD (Azure Gold Line),Barista'S Choice,,,,,,,,,,70,,,,,
2026-03-23,202603,3,baba_main,AZR GOLD (Azure Gold Line),Barista'S Choice,167,,,5,,,,,,1,,,,,
2026-03-26,202603,3,nakano,AZR GOLD (Azure Gold Line),Barista'S Choice,81,,,2,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZR GOLD (Azure Gold Line),Barista'S Choice,173,,,5,,,,,,2,,,,,
2026-03-24,202603,3,office,AZR GOLD (Azure Gold Line),Bermuda Mint,,,,,,,,,,105,,,,,
2026-03-23,202603,3,baba_main,AZR GOLD (Azure Gold Line),Bermuda Mint,197,261,,5,,,,,,8,,,,,
2026-03-26,202603,3,nakano,AZR GOLD (Azure Gold Line),Bermuda Mint,139,204,,5,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZR GOLD (Azure Gold Line),Bermuda Mint,116,244,,3,,,,,,3,,,,,
2026-03-24,202603,3,office,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_main,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-03-26,202603,3,nakano,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-03-24,202603,3,office,AZR GOLD (Azure Gold Line),Berrymania,,,,,,,,,,110,,,,,
2026-03-23,202603,3,baba_main,AZR GOLD (Azure Gold Line),Berrymania,160,,,5,,,,,,2,,,,,
2026-03-26,202603,3,nakano,AZR GOLD (Azure Gold Line),Berrymania,126,,,2,,,,,,,,,,,
2026-03-23,202603,3,baba_2nd,AZR GOLD (Azure Gold Line),Berrymania,156,,,5,,,,,,2,,,,,
