recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2025-12-26,202512,12,office,AF (Al Fakher),Mint,,,,,,,,,,,,,9,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Mint,73,298,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Mint,244,0,,,,,,,,,,,1,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Mint,108,254,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),(パチ) Mint,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),(パチ) Mint,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),(パチ) Mint,174,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),(パチ) Mint,159,162,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Orange,,,,,,,,,,,,,4,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Orange,178,,,,,,,,,,,,1,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Orange,94,0,,,,,,,,,,,3,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Orange,267,260,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),(パチ) Orange,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Peach,,,,,,,,,,,,,3,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Peach,140,,,,,,,,,,,,1,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Peach,173,,,,,,,,,,,,1,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Peach,60,,,,,,,,,,,,1,,
2025-12-26,202512,12,office,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Plum,9,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Rose,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Rose,345,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Rose,140,,,,,,,,5,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Rose,220,,,,,,,,3,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
