recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2026-01-26,202601,1,office,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2026-01-29,202601,1,nakano,AF (Al Fakher),Banana,145,,,,,,,,,,,,,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),Banana,135,,,,,,,,,,,,,,
2026-01-26,202601,1,office,AF (Al Fakher),Blueberry,,,,,,,,,,,,,4,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),Blueberry,267,,,,,,,,,,,,2,,
2026-01-29,202601,1,nakano,AF (Al Fakher),Blueberry,89,,,,,,,,,,,,2,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),Blueberry,164,,,,,,,,,,,,2,,
2026-01-26,202601,1,office,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-01-29,202601,1,nakano,AF (Al Fakher),(パチ) Blueberry,0,,,,,,,,,,,,,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),(パチ) Blueberry,195,,,,,,,,3,,,,,,
2026-01-26,202601,1,office,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-01-29,202601,1,nakano,AF (Al Fakher),Blueberry Vanilla Ice Cream,0,,,,,,,,,,,,,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-01-26,202601,1,office,AF (Al Fakher),Cardamom,,,,,,,,,,,,,,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),Cardamom,112,,,,,,,,20,,,,,,
2026-01-29,202601,1,nakano,AF (Al Fakher),Cardamom,15,,,,,,,,17,,,,,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),Cardamom,175,,,,,,,,13,,,,,,
2026-01-26,202601,1,office,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),Chocolate,10,,,,,,,,,,,,,,
2026-01-29,202601,1,nakano,AF (Al Fakher),Chocolate,0,,,,,,,,,,,,,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),Chocolate,0,,,,,,,,,,,,,,
2026-01-26,202601,1,office,AF (Al Fakher),Cinnamon,,,,,,,,,,,,,3,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),Cinnamon,59,,,,,,,,,,,,2,,
2026-01-29,202601,1,nakano,AF (Al Fakher),Cinnamon,49,,,,,,,,,,,,1,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),Cinnamon,185,265,,,,,,,,,,,1,,
2026-01-26,202601,1,office,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-01-30,202601,1,baba_main,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-01-29,202601,1,nakano,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-01-25,202601,1,baba_2nd,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
