recorded_at,period_key,month_num,from_store_key,dest_store_key,brand_name,flavor_name,quantity,status,comment
2026-01-05,202601,1,baba_main,baba_2nd,AF (Al Fakher),(パチ) Blueberry,370,completed,(8)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AF (Al Fakher),Cinnamon,250,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_main,AF (Al Fakher),Coconut,250,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AF (Al Fakher),Mint,250,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AF (Al Fakher),Peach,250,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_main,AF (Al Fakher),Two Apples,250,completed,(4)移動: 1/5(月)
2026-01-22,202601,1,baba_main,nakano,AF (Al Fakher),Vanilla,250,completed,(13)移動: 1/22(木)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Alaskan Ice,1000,completed,(3)移動: 1/4(日)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Barista'S Choice,1000,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR GOLD (Azure Gold Line),Barista'S Choice,1000,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Barista'S Choice,1000,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Bermuda Mint,500,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_main,AZR GOLD (Azure Gold Line),Black Tea,500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),California Blue (Black),500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_main,AZR GOLD (Azure Gold Line),Chocolate Cake,500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Chocolate Cake,500,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Chocolate Mint,500,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Cinnamon Cookies,500,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Down Under,1000,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Down Under,500,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR BLACK (Azure Black Line),Down Under (Black),1500,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Down Under (Black),1500,completed,(4)移動: 1/5(月)
2026-01-01,202601,1,office,,AZR BLACK (Azure Black Line),Down Under (Black),100,completed,(6)廃棄: 1/1(木) (dispose)
2026-01-05,202601,1,office,baba_2nd,AZR BLACK (Azure Black Line),Down Under (Black),1500,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR BLACK (Azure Black Line),Dubai Apple (Black),500,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Dubai Apple (Black),500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR BLACK (Azure Black Line),Dubai Apple (Black),300,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Grapefruit,1000,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Grapefruit,500,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Green Tea,500,completed,(7)移動: 1/5(月)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Green Tea (Black),500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR BLACK (Azure Black Line),Green Tea (Black),300,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Guavi,1000,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Guavi,500,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Ice Pear,1000,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Ice Pear,500,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR BLACK (Azure Black Line),Island City Blend(Black),1500,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Island City Blend(Black),1500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR BLACK (Azure Black Line),Island City Blend(Black),1500,completed,(7)移動: 1/5(月)
2026-01-01,202601,1,baba_main,,AZR GOLD (Azure Gold Line),Jungle Juice,100,completed,(5)廃棄: 1/1(木) (dispose)
2026-01-05,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Jungle Juice,400,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR BLACK (Azure Black Line),Kokutou (Black),1000,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Lemongrass (Black),500,completed,(4)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR BLACK (Azure Black Line),Limoncello (Black),1000,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Limoncello (Black),500,completed,(4)移動: 1/5(月)
2026-01-01,202601,1,baba_main,,AZR BLACK (Azure Black Line),Limoncello (Black),100,completed,(5)廃棄: 1/1(木) (dispose)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Lychee,1000,completed,(3)移動: 1/4(日)
2026-01-18,202601,1,office,baba_2nd,AZR GOLD (Azure Gold Line),Lychee,500,completed,(11)移動: 1/18(日)
2026-01-04,202601,1,office,nakano,AZR BLACK (Azure Black Line),Lychee (Black),300,completed,(3)移動: 1/4(日)
2026-01-04,202601,1,office,nakano,AZR BLACK (Azure Black Line),Mexicola (Black),1500,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Mexicola (Black),1500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR BLACK (Azure Black Line),Mexicola (Black),1500,completed,(7)移動: 1/5(月)
2026-01-04,202601,1,office,nakano,AZR GOLD (Azure Gold Line),Orange Crush,500,completed,(3)移動: 1/4(日)
2026-01-05,202601,1,office,baba_main,AZR GOLD (Azure Gold Line),Orange Crush,500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_main,AZR BLACK (Azure Black Line),Orange Crush (Black),500,completed,(4)移動: 1/5(月)
2026-01-05,202601,1,office,baba_2nd,AZR BLACK (Azure Black Line),Orange Crush (Black),600,completed,(7)移動: 1/5(月)
