recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2026-04-22,202604,4,office,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2026-04-20,202604,4,baba_main,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2026-04-21,202604,4,nakano,AF (Al Fakher),Banana,47,,,,,,,,,,,,,,
2026-04-20,202604,4,baba_2nd,AF (Al Fakher),Banana,94,,,,,,,,,,,,,,
2026-04-30,202604,4,office,AF (Al Fakher),Blueberry,,,,,,,,,,,,,4,,
2026-04-30,202604,4,baba_main,AF (Al Fakher),Blueberry,115,,,,,,,,,,,,2,,
2026-04-30,202604,4,nakano,AF (Al Fakher),Blueberry,189,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_2nd,AF (Al Fakher),Blueberry,44,,,,,,,,,,,,2,,
2026-04-30,202604,4,office,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_main,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-04-30,202604,4,nakano,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_2nd,AF (Al Fakher),(パチ) Blueberry,213,,,,,,,,1,,,,,,
2026-04-30,202604,4,office,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_main,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-04-30,202604,4,nakano,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_2nd,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-04-30,202604,4,office,AF (Al Fakher),Cardamom,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_main,AF (Al Fakher),Cardamom,128,,,,,,,,12,,,,,,
2026-04-30,202604,4,nakano,AF (Al Fakher),Cardamom,176,,,,,,,,7,,,,,,
2026-04-30,202604,4,baba_2nd,AF (Al Fakher),Cardamom,105,,,,,,,,12,,,,,,
2026-04-30,202604,4,office,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_main,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-04-30,202604,4,nakano,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_2nd,AF (Al Fakher),Chocolate,0,,,,,,,,,,,,,,
2026-04-30,202604,4,office,AF (Al Fakher),Cinnamon,,,,,,,,,,,,,1,,
2026-04-30,202604,4,baba_main,AF (Al Fakher),Cinnamon,182,,,,,,,,,,,,1,,
2026-04-30,202604,4,nakano,AF (Al Fakher),Cinnamon,193,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_2nd,AF (Al Fakher),Cinnamon,221,261,,,,,,,,,,,,,
2026-04-30,202604,4,office,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_main,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-04-30,202604,4,nakano,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-04-30,202604,4,baba_2nd,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-04-30,202604,4,office,AF (Al Fakher),Coconut,,,,,,,,,,,,,1,,
