recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2026-02-22,202602,2,office,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Banana,93,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Banana,115,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Blueberry,,,,,,,,,,,,,4,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Blueberry,220,,,,,,,,,,,,2,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Blueberry,221,,,,,,,,,,,,1,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Blueberry,134,,,,,,,,,,,,2,,
2026-02-22,202602,2,office,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),(パチ) Blueberry,187,,,,,,,,3,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Blueberry Vanilla Ice Cream,0,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Cardamom,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Cardamom,64,,,,,,,,20,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Cardamom,178,,,,,,,,12,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Cardamom,195,,,,,,,,10,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Chocolate,0,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Cinnamon,,,,,,,,,,,,,2,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Cinnamon,252,,,,,,,,,,,,1,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Cinnamon,202,,,,,,,,,,,,1,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Cinnamon,279,260,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Coconut,,,,,,,,,,,,,0,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Coconut,252,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Coconut,0,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Coconut,191,0,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Grapefruit,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Grapefruit With Mint,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Grenadine,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Grenadine,221,,,,,,,,2,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Grenadine,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Grenadine,48,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Guava,,,,,,,,,,,,,5,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Guava,245,,,,,,,,,,,,2,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Guava,82,,,,,,,,,,,,1,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Guava,65,,,,,,,,,,,,2,,
2026-02-22,202602,2,office,AF (Al Fakher),Gum With Mint,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Gum With Mint,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Gum With Mint,0,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Gum With Mint,0,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Kiwi,,,,,,,,,,,,,6,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Kiwi,251,,,,,,,,,,,,1,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Kiwi,140,,,,,,,,,,,,1,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Kiwi,241,,,,,,,,,,,,1,,
2026-02-22,202602,2,office,AF (Al Fakher),Mint,,,,,,,,,,,,,4,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Mint,211,286,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Mint,138,0,,,,,,,,,,,2,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Mint,76,254,,,,,,,,,,,1,,
2026-02-22,202602,2,office,AF (Al Fakher),(パチ) Mint,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),(パチ) Mint,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),(パチ) Mint,53,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),(パチ) Mint,163,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Orange,,,,,,,,,,,,,4,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Orange,75,,,,,,,,,,,,1,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Orange,26,0,,,,,,,,,,,2,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Orange,194,260,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),(パチ) Orange,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Peach,,,,,,,,,,,,,2,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Peach,84,,,,,,,,,,,,1,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Peach,218,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Peach,165,,,,,,,,,,,,1,,
2026-02-22,202602,2,office,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Plum,0,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Plum,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Rose,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Rose,246,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Rose,299,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Rose,187,,,,,,,,3,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Two Apples,,,,,,,,,,,,,0,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Two Apples,215,280,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Two Apples,20,0,,,,,,,,,,,1,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Two Apples,258,14,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),Vanilla,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),Vanilla,189,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),Vanilla,101,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),Vanilla,166,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AF (Al Fakher),(パチ) Watermelon,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AF (Al Fakher),(パチ) Watermelon,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AF (Al Fakher),(パチ) Watermelon,69,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AF (Al Fakher),(パチ) Watermelon,135,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AWE (Al Waha Elite Edition),Libella Swing,0,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AWE (Al Waha Elite Edition),Libella Swing,0,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AZ (Afzal),Chocolate,10,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AZ (Afzal),Chocolate,0,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AZ (Afzal),Earlgray,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AZ (Afzal),Earlgray,196,228,,,,,,,9,,,,,,
2026-02-24,202602,2,nakano,AZ (Afzal),Earlgray,147,0,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZ (Afzal),Earlgray,200,217,,,,,,,4,,,,,,
2026-02-22,202602,2,office,AZ (Afzal),Gingerale,,,,,,,,,10,,,,,,
2026-02-25,202602,2,baba_main,AZ (Afzal),Gingerale,85,,,,,,,,5,,,,,,
2026-02-24,202602,2,nakano,AZ (Afzal),Gingerale,51,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZ (Afzal),Gingerale,149,218,,,,,,,2,,,,,,
2026-02-22,202602,2,office,AZ (Afzal),Lychee,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AZ (Afzal),Lychee,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AZ (Afzal),Lychee,42,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZ (Afzal),Lychee,13,,5,,,,,,,,,,,,
2026-02-22,202602,2,office,AZ (Afzal),Pan Raas,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AZ (Afzal),Pan Raas,,,7,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AZ (Afzal),Pan Raas,,,7,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZ (Afzal),Pan Raas,,,6,,,,,,,,,,,,
2026-02-22,202602,2,office,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AZ (Afzal),Red Cherry,0,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZ (Afzal),Red Cherry,0,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AZR GOLD (Azure Gold Line),Alaskan Ice,,,,,,,,,,120,,,,,
2026-02-25,202602,2,baba_main,AZR GOLD (Azure Gold Line),Alaskan Ice,188,266,,4,,,,,,,,,,,
2026-02-24,202602,2,nakano,AZR GOLD (Azure Gold Line),Alaskan Ice,89,209,,4,,,,,,4,,,,,
2026-02-20,202602,2,baba_2nd,AZR GOLD (Azure Gold Line),Alaskan Ice,224,212,,5,,,,,,2,,,,,
2026-02-22,202602,2,office,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AZR GOLD (Azure Gold Line),Barista'S Choice,,,,,,,,,,70,,,,,
2026-02-25,202602,2,baba_main,AZR GOLD (Azure Gold Line),Barista'S Choice,229,,,5,,,,,,1,,,,,
2026-02-24,202602,2,nakano,AZR GOLD (Azure Gold Line),Barista'S Choice,178,,,4,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZR GOLD (Azure Gold Line),Barista'S Choice,239,,,5,,,,,,2,,,,,
2026-02-22,202602,2,office,AZR GOLD (Azure Gold Line),Bermuda Mint,,,,,,,,,,125,,,,,
2026-02-25,202602,2,baba_main,AZR GOLD (Azure Gold Line),Bermuda Mint,175,235,,2,,,,,,3,,,,,
2026-02-24,202602,2,nakano,AZR GOLD (Azure Gold Line),Bermuda Mint,201,214,,3,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZR GOLD (Azure Gold Line),Bermuda Mint,260,210,,3,,,,,,2,,,,,
2026-02-22,202602,2,office,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-02-25,202602,2,baba_main,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-02-24,202602,2,nakano,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2026-02-22,202602,2,office,AZR GOLD (Azure Gold Line),Berrymania,,,,,,,,,,110,,,,,
2026-02-25,202602,2,baba_main,AZR GOLD (Azure Gold Line),Berrymania,192,,,5,,,,,,2,,,,,
2026-02-24,202602,2,nakano,AZR GOLD (Azure Gold Line),Berrymania,221,,,4,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZR GOLD (Azure Gold Line),Berrymania,152,,,5,,,,,,3,,,,,
2026-02-22,202602,2,office,AZR GOLD (Azure Gold Line),Black Tea,,,,,,,,,,90,,,,,
2026-02-25,202602,2,baba_main,AZR GOLD (Azure Gold Line),Black Tea,186,,,4,,,,,,1,,,,,
2026-02-24,202602,2,nakano,AZR GOLD (Azure Gold Line),Black Tea,160,,,1,,,,,,,,,,,
2026-02-20,202602,2,baba_2nd,AZR GOLD (Azure Gold Line),Black Tea,200,,,5,,,,,,,,,,,
2026-02-22,202602,2,office,AZR GOLD (Azure Gold Line),California Blue,,,,,,,,,,,,,,,
