recorded_at,period_key,month_num,from_store_key,dest_store_key,brand_name,flavor_name,quantity,status,comment
2025-12-03,202512,12,office,nakano,AF (Al Fakher),Blueberry,500,completed,(3)移動: 12/3(水)
2025-12-03,202512,12,office,baba_2nd,AF (Al Fakher),Cinnamon,250,completed,(4)移動: 12/3(水)
2025-12-18,202512,12,office,nakano,AF (Al Fakher),Guava,250,completed,(17)移動: 12/18(木)
2025-11-29,202512,12,baba_main,baba_2nd,AF (Al Fakher),(パチ) Mint,158,completed,(2)移動: 11/29(土)
2025-12-03,202512,12,office,nakano,AF (Al Fakher),Orange,500,completed,(3)移動: 12/3(水)
2025-12-03,202512,12,office,baba_2nd,AF (Al Fakher),Peach,250,completed,(4)移動: 12/3(水)
2025-12-03,202512,12,office,nakano,AF (Al Fakher),Two Apples,500,completed,(3)移動: 12/3(水)
2025-12-03,202512,12,office,baba_2nd,AZ (Afzal),Pan Raas,200,completed,(4)移動: 12/3(水)
2025-12-03,202512,12,office,baba_2nd,AZR GOLD (Azure Gold Line),Alaskan Ice,500,completed,(4)移動: 12/3(水)
2025-12-03,202512,12,office,baba_main,AZR GOLD (Azure Gold Line),Alaskan Ice,500,completed,(5)移動: 12/3(水)
2025-12-18,202512,12,,office,AZR GOLD (Azure Gold Line),Alaskan Ice,5000,completed,(18)入荷: 12/18(木) (arrival)
2025-12-18,202512,12,,office,AZR GOLD (Azure Gold Line),Barista'S Choice,10000,completed,(18)入荷: 12/18(木) (arrival)
2025-12-03,202512,12,office,baba_main,AZR GOLD (Azure Gold Line),Bermuda Mint,500,completed,(5)移動: 12/3(水)
2025-12-18,202512,12,,office,AZR GOLD (Azure Gold Line),Bermuda Mint,5000,completed,(18)入荷: 12/18(木) (arrival)
2025-12-03,202512,12,office,nakano,AZR BLACK (Azure Black Line),California Blue (Black),400,completed,(3)移動: 12/3(水)
2025-12-03,202512,12,office,baba_2nd,AZR GOLD (Azure Gold Line),Carolina Peach,500,completed,(4)移動: 12/3(水)
2025-12-18,202512,12,,office,AZR GOLD (Azure Gold Line),Carolina Peach,5000,completed,(18)入荷: 12/18(木) (arrival)
2025-12-03,202512,12,office,baba_2nd,AZR GOLD (Azure Gold Line),Chai Masala,500,completed,(4)移動: 12/3(水)
