recorded_at,period_key,month_num,from_store_key,dest_store_key,brand_name,flavor_name,quantity,status,comment
2026-02-17,202602,2,office,nakano,AF (Al Fakher),Cinnamon,250,completed,(9)移動: 2/17(火)
2026-02-03,202602,2,office,baba_main,AF (Al Fakher),Mint,500,completed,(3)移動: 2/3(火)
2026-02-17,202602,2,office,nakano,AF (Al Fakher),Mint,500,completed,(9)移動: 2/17(火)
2026-02-03,202602,2,office,baba_main,AF (Al Fakher),Two Apples,250,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_2nd,AF (Al Fakher),Two Apples,250,completed,(4)移動: 2/3(火)
2026-02-13,202602,2,baba_main,nakano,AF (Al Fakher),Two Apples,250,completed,(7)移動: 2/13(金)
2026-02-17,202602,2,office,nakano,AF (Al Fakher),Two Apples,250,completed,(9)移動: 2/17(火)
2026-02-05,202602,2,baba_2nd,baba_main,AF (Al Fakher),Vanilla,250,completed,(5)移動: 2/5(木)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Bermuda Mint,500,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_2nd,AZR GOLD (Azure Gold Line),Berrymania,500,completed,(4)移動: 2/3(火)
2026-02-17,202602,2,office,nakano,AZR GOLD (Azure Gold Line),Berrymania,500,completed,(9)移動: 2/17(火)
2026-02-17,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Berrymania,500,completed,(10)移動: 2/17(火)
2026-02-03,202602,2,office,baba_2nd,AZR GOLD (Azure Gold Line),Black Tea,500,completed,(4)移動: 2/3(火)
2026-02-03,202602,2,office,baba_2nd,AZR GOLD (Azure Gold Line),Carolina Peach,500,completed,(4)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Chai Masala,500,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Cinnamon Cookies,500,completed,(3)移動: 2/3(火)
2026-02-02,202602,2,baba_main,nakano,AZR GOLD (Azure Gold Line),Cucumelon,123,completed,(1)移動: 2/2(月)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Grapefruit,1000,completed,(3)移動: 2/3(火)
2026-02-17,202602,2,office,nakano,AZR GOLD (Azure Gold Line),Green Tea,1000,completed,(9)移動: 2/17(火)
2026-02-03,202602,2,office,baba_2nd,AZR BLACK (Azure Black Line),Green Tea (Black),500,completed,(4)移動: 2/3(火)
2026-02-17,202602,2,office,nakano,AZR BLACK (Azure Black Line),Green Tea (Black),500,completed,(9)移動: 2/17(火)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Ice Pear,1000,completed,(3)移動: 2/3(火)
2026-02-17,202602,2,office,nakano,AZR GOLD (Azure Gold Line),Jungle Juice,500,completed,(9)移動: 2/17(火)
2026-02-03,202602,2,office,baba_2nd,AZR GOLD (Azure Gold Line),Kokutou,500,completed,(4)移動: 2/3(火)
2026-02-17,202602,2,office,nakano,AZR GOLD (Azure Gold Line),Kokutou,500,completed,(9)移動: 2/17(火)
2026-02-17,202602,2,office,baba_main,AZR BLACK (Azure Black Line),Kokutou (Black),500,completed,(10)移動: 2/17(火)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Limoncello,500,completed,(3)移動: 2/3(火)
2026-02-17,202602,2,office,baba_main,AZR BLACK (Azure Black Line),Limoncello (Black),500,completed,(10)移動: 2/17(火)
2026-02-17,202602,2,office,nakano,AZR GOLD (Azure Gold Line),Mexicola,500,completed,(9)移動: 2/17(火)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Queen Of Fruits,500,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,AZR GOLD (Azure Gold Line),Vanilla Bean,500,completed,(3)移動: 2/3(火)
2026-02-05,202602,2,nakano,baba_main,FM (Fumari),Lemon Mint,75,completed,(6)移動: 2/5(木)
2026-02-03,202602,2,office,baba_2nd,FM (Fumari),Spiced Chai,100,completed,(4)移動: 2/3(火)
2026-02-01,202602,2,nakano,baba_2nd,HF (Hookafina),Blueberry Lemonade,100,completed,(2)移動: 2/1(日)
2026-02-01,202602,2,nakano,baba_2nd,HF (Hookafina),Cucumber Lemonade,100,completed,(2)移動: 2/1(日)
2026-02-03,202602,2,office,baba_2nd,HF (Hookafina),Deja Blu,400,completed,(4)移動: 2/3(火)
2026-02-01,202602,2,nakano,baba_2nd,HF (Hookafina),Mangolada,100,completed,(2)移動: 2/1(日)
2026-02-01,202602,2,nakano,baba_2nd,HF (Hookafina),Strawberry Margarita,100,completed,(2)移動: 2/1(日)
2026-02-01,202602,2,nakano,baba_2nd,MH (Musthave),Black Currant,25,completed,(2)移動: 2/1(日)
2026-02-01,202602,2,nakano,baba_2nd,MH (Musthave),Cranberry,25,completed,(2)移動: 2/1(日)
2026-02-01,202602,2,nakano,baba_2nd,MH (Musthave),Milky Rice,25,completed,(2)移動: 2/1(日)
2026-02-01,202602,2,nakano,baba_2nd,MH (Musthave),Morocco,25,completed,(2)移動: 2/1(日)
2026-02-17,202602,2,office,nakano,SB (Starbuzz/Bold),Lebanese Bomb Shell,500,completed,(9)移動: 2/17(火)
2026-02-01,202602,2,nakano,baba_2nd,SS (Social Smoke),Hong Kong Milk Tea,100,completed,(2)移動: 2/1(日)
2026-02-03,202602,2,office,baba_main,TG NOIR (Tangiers Noir),Bubble Gum,200,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,TG NOIR (Tangiers Noir),Cane Mint,500,completed,(3)移動: 2/3(火)
2026-02-13,202602,2,office,,TG BURLEY (Tangiers Burley),Cane Mint (Burley),200,completed,(8)廃棄: 2/13(金) (dispose)
2026-02-03,202602,2,office,baba_main,TG NOIR (Tangiers Noir),Forbidden Fruit,500,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,TG NOIR (Tangiers Noir),Orange Soda,200,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,TG NOIR (Tangiers Noir),Pink Grapefruit,200,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,TG NOIR (Tangiers Noir),Pumpkin,200,completed,(3)移動: 2/3(火)
2026-02-03,202602,2,office,baba_main,TG NOIR (Tangiers Noir),Vanilla,200,completed,(3)移動: 2/3(火)
