recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,12,office,ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,
,,,,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計
,,,AF (Al Fakher),(パチ) Mint,△,Mint,,495,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,174,-,-,-,174,,,,,,,,0,,,,,,,0,174,159,162,-,-,321,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Orange,◯,Normal,2,"2,799",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",178,-,-,-,178,,,,,1,,,250,,,,,,,0,428,94,0,-,-,94,,,,,3,,,750,,,,,,,0,844,267,260,-,-,527,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),(パチ) Orange,△,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Peach,◯,Normal,1,"1,873",-,-,-,-,0,,,,,3,,,750,,,,,,,0,750,140,-,-,-,140,,,,,1,,,250,,,,,,,0,390,173,-,-,-,173,,,,,1,,,250,,,,,,,0,423,60,-,-,-,60,,,,,1,,,250,,,,,,,0
,,,AF (Al Fakher),Plum,✕,Normal,,9,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,9,-,-,-,9,,,,,,,,0,,,,,,,0,9,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Rose,✕,Strong,,"1,105",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,345,-,-,-,345,,,,,,,,0,,,,,,,0,345,140,-,-,-,140,5,,,,,,,250,,,,,,,0,390,220,-,-,-,220,3,,,,,,,150,,,,,,,0
,,,AF (Al Fakher),Super Lemon Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Two Apples,◯,Strong,2,"3,111",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",211,300,-,-,511,,,,,1,,,250,,,,,,,0,761,250,0,-,-,250,,,,,2,,,500,,,,,,,0,750,95,255,-,-,350,,,,,1,,,250,,,,,,,0
,,,AF (Al Fakher),(パチ) Two Apples,△,Strong,,108,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,108,-,-,-,108,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Vanilla,△,Sweet,1,"1,134",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,190,-,-,-,190,,,,,1,,,250,,,,,,,0,440,134,-,-,-,134,,,,,,,,0,,,,,,,0,134,60,-,-,-,60,,,,,2,,,500,,,,,,,0
