recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,12,office,ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,
,,,,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計
,,,AZR BLACK (Azure Black Line),Lemongrass (Black),✕,Normal,,"4,421",-,-,-,-,0,,35,,,,,,"3,500",,,,,,,0,"3,500",0,-,-,-,0,,,,,,,,0,,1,,,,,100,100,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,21,-,-,-,21,,3,,,,,,300,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Lemon Muffin,◯,Normal,1,"2,733",-,-,-,-,0,,5,,,,,,500,,,,,,,0,500,144,-,-,-,144,,5,,,,,,500,,5,,,,,500,"1,144",132,-,-,-,132,,,,,,,,0,,1,,,,,100,232,157,-,-,-,157,,2,,,,,,200,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Lemon Sage,◯,Normal,1,"16,602",-,-,-,-,0,,125,,,,,,"12,500",,,,,,,0,"12,500",165,-,-,-,165,,5,,,,,,500,,5,,,,,500,"1,165",128,-,-,-,128,,9,,,,,,900,,5,,,,,500,"1,528",92,217,-,-,309,,8,,,,,,800,,3,,,,,300
,,,AZR GOLD (Azure Gold Line),Lime,◯,Normal,1,"17,303",-,-,-,-,0,,135,,,,,,"13,500",,,,,,,0,"13,500",132,224,-,-,356,,4,,,,,,400,,5,,,,,500,"1,256",102,-,-,-,102,,5,,,,,,500,,5,,,,,500,"1,102",228,217,-,-,445,,5,,,,,,500,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Lime Cola,✕,Normal,,"1,272",-,-,-,-,0,,0,,,,,,0,,,,,,,0,0,70,-,-,-,70,,,,,,,,0,,4,,,,,400,470,124,-,-,-,124,,,,,,,,0,,4,,,,,400,524,178,-,-,-,178,,,,,,,,0,,1,,,,,100
,,,AZR GOLD (Azure Gold Line),Limoncello,◯,Normal,2,"22,362",-,-,-,-,0,,185,,,,,,"18,500",,,,,,,0,"18,500",214,18,-,-,232,,7,,,,,,700,,3,,,,,300,"1,232",119,217,-,-,336,,4,,,,,,400,,5,,,,,500,"1,236",178,216,-,-,394,,5,,,,,,500,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Limoncello (Black),✕,Normal,,"6,285",-,-,-,-,0,,50,,,,,,"5,000",,,,,,,0,"5,000",90,-,-,-,90,,1,,,,,,100,,1,,,,,100,290,0,-,-,-,0,,,,,,,,0,,1,,,,,100,100,95,-,-,-,95,,4,,,,,,400,,4,,,,,400
,,,AZR GOLD (Azure Gold Line),Lychee,◯,Normal,2,"30,148",-,-,-,-,0,,265,,,,,,"26,500",,,,,,,0,"26,500",95,220,-,-,315,,7,,,,,,700,,5,,,,,500,"1,515",254,260,-,-,514,,,,,,,,0,,3,,,,,300,814,109,210,-,-,319,,5,,,,,,500,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Lychee (Black),✕,Normal,,"2,381",-,-,-,-,0,,9,,,,,,900,,,,,,,0,900,207,-,-,-,207,,2,,,,,,200,,1,,,,,100,507,29,-,-,-,29,,,,,,,,0,,3,,,,,300,329,145,-,-,-,145,,,,,,,,0,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Mexicola,◯,Strong,2,"17,554",-,-,-,-,0,,135,,,,,,"13,500",,,,,,,0,"13,500",100,235,-,-,335,,5,,,,,,500,,5,,,,,500,"1,335",175,211,-,-,386,,3,,,,,,300,,5,,,,,500,"1,186",128,205,-,-,333,,7,,,,,,700,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Mexicola (Black),✕,Strong,,"4,900",-,-,-,-,0,,49,,,,,,"4,900",,,,,,,0,"4,900",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),New Grape Mint,◯,Normal,1,"16,743",-,-,-,-,0,,140,,,,,,"14,000",,,,,,,0,"14,000",139,-,-,-,139,,3,,,,,,300,,5,,,,,500,939,230,-,-,-,230,,,,,,,,0,,3,,,,,300,530,74,-,-,-,74,,7,,,,,,700,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Orange Crush,✕,Normal,,"14,960",-,-,-,-,0,,125,,,,,,"12,500",,,,,,,0,"12,500",64,-,-,-,64,,3,,,,,,300,,4,,,,,400,764,179,-,-,-,179,,,,,,,,0,,2,,,,,200,379,117,-,-,-,117,,7,,,,,,700,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Orange Crush (Black),✕,Normal,,"6,822",-,-,-,-,0,,56,,,,,,"5,600",,,,,,,0,"5,600",112,-,-,-,112,,1,,,,,,100,,1,,,,,100,312,47,-,-,-,47,,,,,,,,0,,3,,,,,300,347,63,-,-,-,63,,,,,,,,0,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Papaya,✕,Normal,,140,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,58,-,-,-,58,,,,,,,,0,,,,,,,0,58,56,-,-,-,56,,,,,,,,0,,,,,,,0,56,26,-,-,-,26,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Passion Fruit,◯,Normal,1,"18,229",-,-,-,-,0,,150,,,,,,"15,000",,,,,,,0,"15,000",107,-,-,-,107,,6,,,,,,600,,5,,,,,500,"1,207",178,-,-,-,178,,,,,,,,0,,5,,,,,500,678,144,-,-,-,144,,7,,,,,,700,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Passion Fruit (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR BLACK (Azure Black Line),Pineapple (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Pineapple Express,◯,Normal,1,"17,165",-,-,-,-,0,,135,,,,,,"13,500",,,,,,,0,"13,500",216,-,-,-,216,,3,,,,,,300,,5,,,,,500,"1,016",149,-,-,-,149,,6,,,,,,600,,4,,,,,400,"1,149",200,-,-,-,200,,8,,,,,,800,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Pinky,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Plumberry,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Queen Of Fruits,◯,Normal,1,"15,749",-,-,-,-,0,,130,,,,,,"13,000",,,,,,,0,"13,000",248,-,-,-,248,,,,,,,,0,,4,,,,,400,648,85,0,-,-,85,,3,,,,,,300,,4,,,,,400,785,216,-,-,-,216,,6,,,,,,600,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Queen Of Fruits (Black),✕,Normal,,598,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,39,-,-,-,39,,,,,,,,0,,,,,,,0,39,89,-,-,-,89,,,,,,,,0,,1,,,,,100,189,70,-,-,-,70,,,,,,,,0,,3,,,,,300
,,,AZR GOLD (Azure Gold Line),Raspberry Vanilla,✕,Strong,,127,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,55,-,-,-,55,,,,,,,,0,,,,,,,0,55,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,72,-,-,-,72,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Rio Mint,✕,Mint,,"10,573",-,-,-,-,0,,70,,,,,,"7,000",,,,,,,0,"7,000",90,-,-,-,90,,6,,,,,,600,,5,,,,,500,"1,190",102,-,-,-,102,,6,,,,,,600,,4,,,,,400,"1,102",181,-,-,-,181,,6,,,,,,600,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Royal Citrus (Black),✕,Normal,,301,-,-,-,-,0,,0,,,,,,0,,,,,,,0,0,60,-,-,-,60,,,,,,,,0,,1,,,,,100,160,100,-,-,-,100,,,,,,,,0,,,,,,,0,100,41,-,-,-,41,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Royal Mango,◯,Normal,1,"14,816",-,-,-,-,0,,120,,,,,,"12,000",,,,,,,0,"12,000",135,-,-,-,135,,,,,,,,0,,3,,,,,300,435,253,-,-,-,253,,7,,,,,,700,,5,,,,,500,"1,453",11,217,-,-,228,,2,,,,,,200,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Royal Orange (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Royal Queen,✕,Strong,,203,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,76,-,-,-,76,,,,,,,,0,,,,,,,0,76,127,-,-,-,127,,,,,,,,0,,,,,,,0,127,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Royal Raspberry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Solana Beach,✕,Normal,,670,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,46,-,-,-,46,,,,,,,,0,,3,,,,,300,346,44,-,-,-,44,,,,,,,,0,,1,,,,,100,144,80,-,-,-,80,,,,,,,,0,,1,,,,,100
,,,AZR GOLD (Azure Gold Line),Sour,◯,Normal,1,"9,361",-,-,-,-,0,,65,,,,,,"6,500",,,,,,,0,"6,500",136,-,-,-,136,,,,,,,,0,,5,,,,,500,636,79,-,-,-,79,,3,,,,,,300,,5,,,,,500,879,146,-,-,-,146,,7,,,,,,700,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Sour (Black),✕,Normal,,84,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,36,-,-,-,36,,,,,,,,0,,,,,,,0,36,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,48,-,-,-,48,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Strawberry Passion,✕,Normal,,71,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,71,-,-,-,71,,,,,,,,0,,,,,,,0,71,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Strong Lychee,✕,Normal,,20,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,20,-,-,-,20,,,,,,,,0,,,,,,,0,20,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Tropical Paradise,◯,Normal,1,"18,537",-,-,-,-,0,,155,,,,,,"15,500",,,,,,,0,"15,500",76,-,-,-,76,,6,,,,,,600,,5,,,,,500,"1,176",167,-,-,-,167,,1,,,,,,100,,4,,,,,400,667,173,221,-,-,394,,3,,,,,,300,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Vanilla Bean,◯,Sweet,1,"16,477",-,-,-,-,0,,125,,,,,,"12,500",,,,,,,0,"12,500",56,-,-,-,56,,6,,,,,,600,,3,,,,,300,956,174,-,-,-,174,,8,,,,,,800,,5,,,,,500,"1,474",147,-,-,-,147,,9,,,,,,900,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Viva La Horchata,◯,Sweet,1,"8,682",-,-,-,-,0,,60,,,,,,"6,000",,,,,,,0,"6,000",78,-,-,-,78,,5,,,,,,500,,5,,,,,500,"1,078",167,-,-,-,167,,,,,,,,0,,4,,,,,400,567,137,-,-,-,137,,4,,,,,,400,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Winter Rose,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DBJ (Debaj),Blue Berry,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DBJ (Debaj),Cardamom,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DBJ (Debaj),Guava,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DBJ (Debaj),Ice Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DBJ (Debaj),Ice Orange Cream,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DBJ (Debaj),Milk,◯,Sweet,2,"2,107",-,-,-,-,0,0,,,,,,,0,,,,,,,0,0,222,247,-,-,469,,,,,,,,0,,,,,,,0,469,75,221,-,-,296,10,,,,,,,500,,,,,,,0,796,123,219,-,-,342,10,,,,,,,500,,,,,,,0
,,,DZJ (Dozaj),Cinnamon,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DZJ (Dozaj),Dragon Fruits,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DZJ (Dozaj),Nesquickly,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,DZJ (Dozaj),Peanut Butter,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,FA (Fantasia),Hush Honey,◯,Sweet,1,46,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,32,-,-,-,32,,,,,,,,0,,,,,,,0,32,14,-,-,-,14,,,,,,,,0,,,,,,,0
,,,FM (Fumari),Banana Custard,✕,Sweet,,241,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,167,-,-,-,167,,,,,,,,0,,,,,,,0,167,74,-,-,-,74,,,,,,,,0,,,,,,,0
,,,FM (Fumari),Caramel Kiss,✕,Sweet,,25,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,25,-,-,-,25,,,,,,,,0,,,,,,,0,25,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,FM (Fumari),Lemon Mint,✕,Normal,,206,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,31,-,-,-,31,,,,,,,,0,,,,,,,0,31,75,-,-,-,75,,,,,,,,0,,1,,,,,100,175,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,FM (Fumari),Spiced Chai,◯,Sweet,1,"2,164",-,-,-,-,0,,6,,,,,,600,,,,,,,0,600,187,-,-,-,187,,4,,,,,,400,,,,,,,0,587,72,-,-,-,72,,,,,,,,0,,3,,,,,300,372,105,-,-,-,105,,,,,,,,0,,5,,,,,500
,,,GXM (Gixom),Cheese Cream,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,GXM (Gixom),Chocolate Milk,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,GXM (Gixom),Jasmine,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,GXM (Gixom),Pistachio Ice Cream,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,GXM (Gixom),Strawberry Yoghurt,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,GXM (Gixom),Tiramisu,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Blueberry Lemonade,✕,Normal,,251,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,34,-,-,-,34,,,,,,,,0,,2,,,,,200,234,17,-,-,-,17,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Cucumber Lemonade,✕,Normal,,270,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,45,-,-,-,45,,,,,,,,0,,2,,,,,200,245,25,-,-,-,25,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Deja Blu,✕,Normal,,"1,588",-,-,-,-,0,,7,,,,,,700,,,,,,,0,700,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,54,23,-,-,77,,,,,,,,0,,2,,,,,200,277,11,-,-,-,11,,5,,,,,,500,,1,,,,,100
,,,HF (Hookafina),Double Melon Blast,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Dragon Fruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Grapefruit Mint,✕,Normal,,63,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,63,-,-,-,63,,,,,,,,0,,,,,,,0,63,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Limeade,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Mangolada,✕,Normal,,362,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,90,-,-,-,90,,,,,,,,0,,1,,,,,100,190,72,-,-,-,72,,,,,,,,0,,1,,,,,100
,,,HF (Hookafina),Melon Pop,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,0,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Mint Knockout,✕,Mint,,164,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,164,-,-,-,164,,,,,,,,0,,,,,,,0,164,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Orange Mint,✕,Normal,,216,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,216,-,-,-,216,,,,,,,,0,,,,,,,0,216,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Peppermint,✕,Mint,,"2,005",-,-,-,-,0,,8,,,,,,800,,,,,,,0,800,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,35,-,-,-,35,,,,,,,,0,,3,,,,,300,335,70,-,-,-,70,,6,,,,,,600,,2,,,,,200
,,,HF (Hookafina),Pinkberry,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Pink Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Salted Caramel Waffle,◯,Sweet,1,"6,228",-,-,-,-,0,,20,,,,,,"2,000",,,,,,,0,"2,000",135,-,-,-,135,,11,,,,,,"1,100",,,,,,,0,"1,235",140,-,-,-,140,,13,,,,,,"1,300",,1,,,,,100,"1,540",42,211,-,-,253,,12,,,,,,"1,200",,,,,,,0
,,,HF (Hookafina),Spicy Peach,✕,Normal,,7,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,7,-,-,-,7,,,,,,,,0,,,,,,,0,7,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Strawberry Margarita,✕,Normal,,426,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,26,-,-,-,26,,,,,,,,0,,3,,,,,300,326,100,-,-,-,100,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Tutti Fruiti,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Vanilla Shake,✕,Sweet,,"1,389",-,-,-,-,0,,5,,,,,,500,,,,,,,0,500,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,48,100,-,-,148,,,,,,,,0,,1,,,,,100,248,41,-,-,-,41,,4,,,,,,400,,2,,,,,200
,,,HF (Hookafina),Watermelon Mint,✕,Normal,,81,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,81,-,-,-,81,,,,,,,,0,,,,,,,0,81,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MZ (Mazaya),Twist,✕,Sweet,,120,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,120,-,-,-,120,,,,,,,,0,,,,,,,0,120,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Araram,✕,Strong,,154,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,37,-,-,-,37,,,,,,,,0,,,,,,,0,37,17,-,-,-,17,,,,,,,100,100,,,,,,,0,117,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Black Currant,✕,Strong,,41,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,16,-,-,-,16,,,,,,,25,25,,,,,,,0,41,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Candy Cow,✕,Normal,,50,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,25,25,,,,,,,0,25,25,-,-,-,25,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Caribbean Rum,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Charlotte Pie,✕,Sweet,,115,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,19,21,-,-,40,,,,,,,75,75,,,,,,,0,115,-,-,-,-,0,,,,,,,,0,,,,,,,0
