ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)入荷: 2/26(木),,,TRUE,(2)移動: 2/26(木),,,TRUE,(3)移動: 2/28(日),,,TRUE,(4)移動: 2/28(日),,,TRUE,(5) (欠番),,,TRUE,(6)移動: 3/1(日),,,TRUE,(7)移動: 3/1(日),,,TRUE,(8)移動: 3/2(月),,,TRUE,(9)移動: 3/2(月),,,TRUE,(10)移動: 3/2(月),,,TRUE,(11)移動: 3/7(土),,,TRUE,(12)移動: 3/14(土),,,TRUE,(13)移動: 3/14(土),,,TRUE,2026-03-16,,,TRUE,2026-03-16,,,TRUE,02/26,,通関ミスの為、そもそもー500g入荷してた。,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AF (Al Fakher),Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Grapefruit With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Grenadine,✕,Strong,,320,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,209,,,,209,2,,,,,,,100,,,,,,,0,309,,,,,0,,,,,,,,0,,,,,,,0,0,11,,,,11,,,,,,,,0,,,,,,,0,11,,,0,321,0,48,0,18,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,321,0,48,0,309,0,11,0,12,0,37,0,297,0,-26,,,,,,,56,369,,TRUE
AF (Al Fakher),Guava,◯,Strong,1,"2,760",-,-,-,-,0,,,,,5,,,"1,250",,,,,,,0,"1,250",221,,,,221,,,,,2,,,500,,,,,,,0,721,260,,,,260,,,,,,,,0,,,,,,,0,260,131,148,,,279,,,,,1,,,250,,,,,,,0,529,,,"1,250",745,332,565,0,58,39,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,250",745,332,565,"1,250",721,260,529,0,24,72,36,"1,250",697,188,493,,,,,,,157,"2,892",,TRUE
AF (Al Fakher),Gum With Mint,✕,Mint,,781,-,-,-,-,0,,,,,1,,,250,,,,,,,0,250,,,,,0,,,,,,,,0,,,,,,,0,0,111,,,,111,,,,,1,,,250,,,,,,,0,361,170,,,,170,,,,,,,,0,,,,,,,0,170,,,0,0,0,0,0,0,0,0,"1,000",,,,,,,,-500,,500,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,-250,,250,,250,,-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0,500,250,250,0,500,250,250,0,361,170,0,0,139,80,250,0,222,90,,,,,,,0,"1,000",,TRUE
AF (Al Fakher),Kiwi,◯,Normal,1,"2,502",-,-,-,-,0,,,,,5,,,"1,250",,,,,,,0,"1,250",228,,,,228,,,,,1,,,250,,,,,,,0,478,69,,,,69,,,,,,,,0,,,,,,,0,69,205,,,,205,,,,,2,,,500,,,,,,,0,705,,,"1,500",501,390,491,0,32,60,48,,,,,,,,,,,,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,"1,250",501,390,741,"1,250",478,69,705,0,23,321,36,"1,250",455,-252,669,,,,,,,140,"2,882",,TRUE
AF (Al Fakher),Mint,◯,Mint,2,"2,416",-,-,-,-,0,,,,,2,,,500,,,,,,,0,500,92,286,,,378,,,,,2,,,500,,,,,,,0,878,242,,,,242,,,,,1,,,250,,,,,,,0,492,42,254,,,296,,,,,1,,,250,,,,,,,0,546,,,"1,000",497,638,580,0,171,188,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,0,0,500,997,638,580,500,878,492,546,0,119,146,34,500,759,346,512,,,,,,,376,"2,715",,TRUE
AF (Al Fakher),(パチ) Mint,△,Mint,,50,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,9,,,,9,,,,,,,,0,,,,,,,0,9,41,,,,41,,,,,,,,0,,,,,,,0,41,,,0,0,53,163,0,0,68,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,53,163,0,0,9,41,0,0,44,122,0,0,-35,-81,,,,,,,163,216,,TRUE
AF (Al Fakher),Orange,◯,Normal,2,"1,879",-,-,-,-,0,,,,,2,,,500,,,,,,,0,500,270,,,,270,,,,,1,,,250,,,,,,,0,520,240,,,,240,,,,,,,,0,,,,,,,0,240,110,259,,,369,,,,,1,,,250,,,,,,,0,619,,,"1,000",325,526,454,0,32,167,30,,,,,,,,,,,,,,,,,,,,,-250,,,250,,,,,,,,,-250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,250,0,250,500,575,526,704,500,520,240,619,0,55,286,85,500,465,-46,534,,,,,,,229,"2,305",,TRUE
AF (Al Fakher),(パチ) Orange,△,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
