ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)入荷: 2/26(木),,,TRUE,(2)移動: 2/26(木),,,TRUE,(3)移動: 2/28(日),,,TRUE,(4)移動: 2/28(日),,,TRUE,(5) (欠番),,,TRUE,(6)移動: 3/1(日),,,TRUE,(7)移動: 3/1(日),,,TRUE,(8)移動: 3/2(月),,,TRUE,(9)移動: 3/2(月),,,TRUE,(10)移動: 3/2(月),,,TRUE,(11)移動: 3/7(土),,,TRUE,(12)移動: 3/14(土),,,TRUE,(13)移動: 3/14(土),,,TRUE,2026-03-16,,,TRUE,2026-03-16,,,TRUE,02/26,,通関ミスの為、そもそもー500g入荷してた。,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AZ (Afzal),Earlgray,◯,Strong,2,"3,357",-,-,-,-,0,,,,,7,,,"1,750",,,,,,,0,"1,750",134,196,,,330,9,,,,,,,450,,,,,,,0,780,116,,,,116,,,,,1,,,250,,,,,,,0,366,46,215,,,261,4,,,,,,,200,,,,,,,0,461,,,0,874,147,617,0,87,256,107,"2,250",,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,750",0,500,0,"1,750",874,647,617,"1,750",780,366,461,0,94,281,156,"1,750",686,85,305,,,,,,,450,"3,888",,TRUE
AZ (Afzal),Gingerale,◯,Normal,1,"1,178",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,49,,,,49,5,,,,,,,250,,,,,,,0,299,245,,,,245,5,,,,,,,250,,,,,,,0,495,75,209,,,284,2,,,,,,,100,,,,,,,0,384,,,500,335,51,467,0,28,288,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,0,335,551,467,0,299,495,384,0,36,56,83,0,263,439,301,,,,,,,366,"1,353",,TRUE
AZ (Afzal),Lychee,✕,Normal,,301,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,38,,,,38,,,,,,,,0,,,,,,,0,38,13,,,,13,,,,,,,,0,5,,,,,,250,263,,,0,0,42,263,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,42,263,0,0,38,263,0,0,4,0,0,0,34,263,,,,,,,60,305,,TRUE
AZ (Afzal),Pan Raas,✕,Strong,,950,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,7,,,,,,350,350,,,,,0,,,,,,,,0,7,,,,,,350,350,,,,,0,,,,,,,,0,5,,,,,,250,250,,,0,350,350,300,0,50,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,350,350,300,0,350,350,250,0,0,0,50,0,350,350,200,,,,,,,150,"1,000",,TRUE
AZ (Afzal),Red Cherry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Alaskan Ice,◯,Mint,2,"14,038",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",63,266,,,329,,3,,,,,,300,,5,,,,,500,"1,129",78,204,,,282,,,,,,,,0,,4,,,,,400,682,198,229,,,427,,3,,,,,,300,,5,,,,,500,"1,227",,,"12,000",854,"1,098","1,136",0,124,422,190,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,0,500,"11,000","1,354","1,098","1,636","11,000","1,129",682,"1,227",0,225,416,409,"11,000",904,266,818,,,,,,,736,"15,088",,TRUE
AZR GOLD (Azure Gold Line),Apple Cider,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Barista'S Choice,◯,Sweet,1,"8,921",-,-,-,-,0,,70,,,,,,"7,000",,,,,,,0,"7,000",167,,,,167,,1,,,,,,100,,5,,,,,500,767,81,,,,81,,,,,,,,0,,2,,,,,200,281,173,,,,173,,2,,,,,,200,,5,,,,,500,873,,,"7,000",829,578,939,0,164,240,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"7,000",829,578,939,"7,000",767,281,873,0,62,297,66,"7,000",705,-16,807,,,,,,,476,"9,346",,TRUE
AZR GOLD (Azure Gold Line),Bermuda Mint,◯,Mint,1,"14,061",-,-,-,-,0,,105,,,,,,"10,500",,,,,,,0,"10,500",197,261,,,458,,8,,,,,,800,,5,,,,,500,"1,758",139,204,,,343,,,,,,,,0,,5,,,,,500,843,116,244,,,360,,3,,,,,,300,,3,,,,,300,960,,,"12,500",910,715,970,0,470,393,410,,,,,,,,,-500,,500,,,,,,,,,,-500,,,500,,,,,,,,,"-1,000","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000","1,000",500,500,"10,500","1,910","1,215","1,470","10,500","1,758",843,960,0,152,372,510,"10,500","1,606",471,450,,,,,,,"1,273","15,095",,TRUE
AZR BLACK (Azure Black Line),Bermuda Mint(Black),✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Berrymania,◯,Strong,,"13,042",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",160,,,,160,,2,,,,,,200,,5,,,,,500,860,126,,,,126,,,,,,,,0,,2,,,,,200,326,156,,,,156,,2,,,,,,200,,5,,,,,500,856,,,"11,000",892,621,952,0,22,184,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"11,000",892,621,952,"11,000",860,326,856,0,32,295,96,"11,000",828,31,760,,,,,,,470,"13,465",,TRUE
AZR GOLD (Azure Gold Line),Black Tea,◯,Strong,,"10,570",-,-,-,-,0,,85,,,,,,"8,500",,,,,,,0,"8,500",160,,,,160,,,,,,,,0,,4,,,,,400,560,141,,,,141,,,,,,,,0,,,,,,,0,141,169,,,,169,,7,,,,,,700,,5,,,,,500,"1,369",,,"9,000",686,260,700,0,23,149,324,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"8,500",686,260,"1,200","8,500",560,141,"1,369",0,126,119,-169,"8,500",434,22,"1,538",,,,,,,496,"10,646",,TRUE
AZR GOLD (Azure Gold Line),California Blue,◯,Normal,1,58,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,0,0,58,,,,58,,,,,,,,0,,,,,,,0,58,,,0,0,42,71,0,36,72,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,42,71,0,0,0,58,0,0,42,13,0,0,-42,45,,,,,,,143,113,,TRUE
AZR BLACK (Azure Black Line),California Blue (Black),✕,Normal,,"1,963",-,-,-,-,0,,3,,,,,,300,,,,,,,0,300,95,,,,95,,3,,,,,,300,,1,,,,,100,495,64,,,,64,,,,,,,,0,,1,,,,,100,164,4,,,,4,,5,,,,,,500,,5,,,,,500,"1,004",,,500,307,260,"1,006",0,211,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,200,0,0,300,507,260,"1,006",300,495,164,"1,004",0,12,96,2,300,483,68,"1,002",,,,,,,229,"2,073",,TRUE
AZR GOLD (Azure Gold Line),Carolina Peach,◯,Normal,1,"10,883",-,-,-,-,0,,75,,,,,,"7,500",,,,,,,0,"7,500",80,,,,80,,3,,,,,,300,,5,,,,,500,880,95,,,,95,,8,,,,,,800,,5,,,,,500,"1,395",208,,,,208,,5,,,,,,500,,4,,,,,400,"1,108",,,"8,500",919,454,"1,359",0,53,176,121,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",0,"1,000",0,"7,500",919,"1,454","1,359","7,500",880,"1,395","1,108",0,39,59,251,"7,500",841,"1,336",857,,,,,,,350,"11,232",,TRUE
AZR GOLD (Azure Gold Line),Chai Masala,◯,Strong,1,"17,381",-,-,-,-,0,,150,,,,,,"15,000",,,,,,,0,"15,000",198,,,,198,,2,,,,,,200,,5,,,,,500,898,108,,,,108,,,,,,,,0,,6,,,,,600,708,175,,,,175,,1,,,,,,100,,5,,,,,500,775,,,"15,000",915,739,835,0,6,28,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"15,000",915,739,835,"15,000",898,708,775,0,17,31,60,"15,000",881,677,715,,,,,,,71,"17,489",,TRUE
AZR GOLD (Azure Gold Line),Chocolate Cake,◯,Sweet,,"11,982",-,-,-,-,0,,95,,,,,,"9,500",,,,,,,0,"9,500",193,,,,193,,1,,,,,,100,,5,,,,,500,793,204,,,,204,,,,,,,,0,,4,,,,,400,604,185,,,,185,,4,,,,,,400,,5,,,,,500,"1,085",,,"10,000",830,776,783,0,36,190,300,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"9,500",830,776,"1,283","9,500",793,604,"1,085",0,37,172,198,"9,500",756,432,887,,,,,,,526,"12,389",,TRUE
AZR GOLD (Azure Gold Line),Chocolate Mint,◯,Sweet,1,"14,060",-,-,-,-,0,,115,,,,,,"11,500",,,,,,,0,"11,500",89,,,,89,,3,,,,,,300,,4,,,,,400,789,116,,,,116,,3,,,,,,300,,4,,,,,400,816,155,,,,155,,3,,,,,,300,,5,,,,,500,955,,,"12,000",944,610,"1,053",0,42,116,107,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"11,500",944,"1,110","1,053","11,500",789,816,955,0,155,294,98,"11,500",634,522,857,,,,,,,265,"14,607",,TRUE
AZR GOLD (Azure Gold Line),Cinnamon Cookies,◯,Sweet,1,"11,036",-,-,-,-,0,,85,,,,,,"8,500",,,,,,,0,"8,500",71,272,,,343,,2,,,,,,200,,5,,,,,500,"1,043",123,,,,123,,,,,,,,0,,4,,,,,400,523,170,,,,170,,3,,,,,,300,,5,,,,,500,970,,,"8,500","1,074",675,"1,105",0,114,164,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"8,500","1,074",675,"1,105","8,500","1,043",523,970,0,31,152,135,"8,500","1,012",371,835,,,,,,,318,"11,354",,TRUE
AZR GOLD (Azure Gold Line),Cocomania,◯,Normal,1,283,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,77,,,,77,,,,,,,,0,,,,,,,0,77,93,,,,93,,,,,,,,0,,,,,,,0,93,113,,,,113,,,,,,,,0,,,,,,,0,113,,,0,89,100,130,0,13,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,89,100,130,0,77,93,113,0,12,7,17,0,65,86,96,,,,,,,31,319,,TRUE
AZR GOLD (Azure Gold Line),Copacabana,✕,Normal,,178,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,93,,,,93,,,,,,,,0,,,,,,,0,93,20,,,,20,,,,,,,,0,,,,,,,0,20,65,,,,65,,,,,,,,0,,,,,,,0,65,,,0,100,24,67,0,0,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,100,24,67,0,93,20,65,0,7,4,2,0,86,16,63,,,,,,,4,191,,TRUE
AZR GOLD (Azure Gold Line),Cucumelon,✕,Normal,,114,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,114,,,,114,,,,,,,,0,,,,,,,0,114,0,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,115,19,0,0,8,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,115,19,0,0,114,0,0,0,1,19,0,0,113,-19,,,,,,,49,134,,TRUE
AZR GOLD (Azure Gold Line),D Cherry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Down Under,◯,Normal,2,"17,285",-,-,-,-,0,,130,,,,,,"13,000",,,,,,,0,"13,000",115,205,,,320,,10,,,,,,"1,000",,5,,,,,500,"1,820",268,,,,268,,3,,,,,,300,,5,,,,,500,"1,068",143,254,,,397,,7,,,,,,700,,3,,,,,300,"1,397",,,"14,500",873,"1,433","1,220",0,104,193,350,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,"-1,000","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,500","1,000",0,500,"13,000","1,873","1,433","1,720","13,000","1,820","1,068","1,397",0,53,365,323,"13,000","1,767",703,"1,074",,,,,,,647,"18,026",,TRUE
AZR BLACK (Azure Black Line),Down Under (Black),✕,Normal,,"2,530",-,-,-,-,0,,4,,,,,,400,,,,,,,0,400,21,,,,21,,3,,,,,,300,,1,,,,,100,421,22,,,,22,,3,,,,,,300,,2,,,,,200,522,87,,,,87,,6,,,,,,600,,5,,,,,500,"1,187",,,400,719,784,"1,231",0,338,-428,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,400,719,784,"1,231",400,421,522,"1,187",0,298,262,44,400,123,260,"1,143",,,,,,,-21,"3,134",,TRUE
AZR BLACK (Azure Black Line),Dubai Apple (Black),✕,Strong,,"3,152",-,-,-,-,0,,15,,,,,,"1,500",,,,,,,0,"1,500",43,,,,43,,4,,,,,,400,,1,,,,,100,543,32,,,,32,,2,,,,,,200,,4,,,,,400,632,77,,,,77,,,,,,,,0,,4,,,,,400,477,,,"2,000",546,279,602,0,102,32,101,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"1,500",546,779,602,"1,500",543,632,477,0,3,147,125,"1,500",540,485,352,,,,,,,235,"3,427",,TRUE
AZR GOLD (Azure Gold Line),Grapefruit,◯,Normal,2,"19,167",-,-,-,-,0,,155,,,,,,"15,500",,,,,,,0,"15,500",182,227,,,409,,1,,,,,,100,,4,,,,,400,909,142,,,,142,,8,,,,,,800,,4,,,,,400,"1,342",196,220,,,416,,5,,,,,,500,,5,,,,,500,"1,416",,,"17,000","1,126",642,"1,159",0,277,680,288,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,500",0,"1,000",500,"15,500","1,126","1,642","1,659","15,500",909,"1,342","1,416",0,217,300,243,"15,500",692,"1,042","1,173",,,,,,,"1,245","19,927",,TRUE
AZR GOLD (Azure Gold Line),Green Tea,◯,Normal,2,"20,649",-,-,-,-,0,,170,,,,,,"17,000",,,,,,,0,"17,000",229,211,,,440,,4,,,,,,400,,5,,,,,500,"1,340",63,215,,,278,,2,,,,,,200,,5,,,,,500,978,214,217,,,431,,4,,,,,,400,,5,,,,,500,"1,331",,,"18,000",886,"1,224","1,313",0,165,223,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,0,500,"17,000","1,386","1,224","1,813","17,000","1,340",978,"1,331",0,46,246,482,"17,000","1,294",732,849,,,,,,,669,"21,423",,TRUE
AZR BLACK (Azure Black Line),Green Tea (Black),✕,Normal,,"5,166",-,-,-,-,0,,30,,,,,,"3,000",,,,,,,0,"3,000",35,,,,35,,4,,,,,,400,,1,,,,,100,535,53,,,,53,,3,,,,,,300,,5,,,,,500,853,78,,,,78,,2,,,,,,200,,5,,,,,500,778,,,"3,500",562,388,889,0,106,130,11,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"3,000",562,888,889,"3,000",535,853,778,0,27,35,111,"3,000",508,818,667,,,,,,,247,"5,339",,TRUE
AZR GOLD (Azure Gold Line),Guavi,◯,Normal,1,"5,170",-,-,-,-,0,,30,,,,,,"3,000",,,,,,,0,"3,000",214,,,,214,,,,,,,,0,,3,,,,,300,514,96,,,,96,,2,,,,,,200,,5,,,,,500,796,160,,,,160,,2,,,,,,200,,5,,,,,500,860,,,"4,000",538,287,923,0,49,787,165,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",0,"1,000",0,"3,000",538,"1,287",923,"3,000",514,796,860,0,24,491,63,"3,000",490,305,797,,,,,,,"1,001","5,748",,TRUE
AZR GOLD (Azure Gold Line),Ice Lime,✕,Normal,,"6,641",-,-,-,-,0,,45,,,,,,"4,500",,,,,,,0,"4,500",53,,,,53,,3,,,,,,300,,4,,,,,400,753,257,,,,257,,,,,,,,0,,1,,,,,100,357,131,,,,131,,4,,,,,,400,,5,,,,,500,"1,031",,,"10,000",0,0,0,0,0,0,0,,,,,,,,,,,,,"-1,500",,"1,500",,,,,,,,,,"-1,500",,,"1,500",,,,,,,,,"-1,500","1,500",,,,,,,,,,,,,,,"-1,000",,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,500","1,500","1,500","2,500","4,500","1,500","1,500","2,500","4,500",753,357,"1,031",0,747,"1,143","1,469","4,500",6,-786,-438,,,,,,,0,"10,000",,TRUE
AZR GOLD (Azure Gold Line),Ice Pear,◯,Normal,1,"18,964",-,-,-,-,0,,155,,,,,,"15,500",,,,,,,0,"15,500",68,207,,,275,,4,,,,,,400,,5,,,,,500,"1,175",200,,,,200,,10,,,,,,"1,000",,1,,,,,100,"1,300",140,249,,,389,,6,,,,,,600,,,,,,,0,989,,,"16,000","1,278","1,024","1,097",0,395,414,152,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"15,500","1,278","1,524","1,097","15,500","1,175","1,300",989,0,103,224,108,"15,500","1,072","1,076",881,,,,,,,961,"19,399",,TRUE
AZR BLACK (Azure Black Line),Island City Blend(Black),✕,Strong,,"8,080",-,-,-,-,0,,55,,,,,,"5,500",,,,,,,0,"5,500",40,,,,40,,9,,,,,,900,,1,,,,,100,"1,040",20,,,,20,,,,,,,,0,,5,,,,,500,520,20,,,,20,,5,,,,,,500,,5,,,,,500,"1,020",,,"5,500","1,140",859,"1,150",0,230,104,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"5,500","1,140",859,"1,150","5,500","1,040",520,"1,020",0,100,339,130,"5,500",940,181,890,,,,,,,392,"8,649",,TRUE
AZR GOLD (Azure Gold Line),Jasmine,◯,Strong,2,"18,644",-,-,-,-,0,,160,,,,,,"16,000",,,,,,,0,"16,000",159,,,,159,,5,,,,,,500,,5,,,,,500,"1,159",146,,,,146,,,,,,,,0,,5,,,,,500,646,198,241,,,439,,,,,,,,0,,4,,,,,400,839,,,"16,000","1,203",771,"1,077",0,142,229,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"16,000","1,203",771,"1,077","16,000","1,159",646,839,0,44,125,238,"16,000","1,115",521,601,,,,,,,468,"19,051",,TRUE
AZR GOLD (Azure Gold Line),Jungle Juice,◯,Normal,1,"6,430",-,-,-,-,0,,35,,,,,,"3,500",,,,,,,0,"3,500",189,,,,189,,2,,,,,,200,,5,,,,,500,889,270,,,,270,,6,,,,,,600,,3,,,,,300,"1,170",171,,,,171,,2,,,,,,200,,5,,,,,500,871,,,"4,500",922,524,922,0,28,293,87,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",0,"1,000",0,"3,500",922,"1,524",922,"3,500",889,"1,170",871,0,33,354,51,"3,500",856,816,820,,,,,,,408,"6,868",,TRUE
