ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,03/30,,,TRUE,03/30,,,TRUE,03/30,,佐賀県に持って行くぞ✈️,TRUE,03/30,,,TRUE,03/31,,,TRUE,03/31,,,TRUE,04/01,,,TRUE,04/04,,,TRUE,04/08,,,TRUE,04/15,,我慢できずに吸った。,TRUE,04/15,,,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AF (Al Fakher),Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Grapefruit With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Grenadine,✕,Strong,,307,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,207,-,,,207,2,,,,,,,100,,,,,,,0,307,,,,,0,,,,,,,,0,,,,,,,0,0,0,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,309,0,11,0,12,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,309,0,11,0,307,0,0,0,2,0,11,0,305,0,-11,,,,,,,49,320,,TRUE
AF (Al Fakher),Guava,◯,Strong,1,"2,569",-,-,-,-,0,,,,,5,,,"1,250",,,,,,,0,"1,250",189,-,,,189,,,,,2,,,500,,,,,,,0,689,160,,,,160,,,,,,,,0,,,,,,,0,160,72,148,,,220,,,,,1,,,250,,,,,,,0,470,,,"1,250",721,260,529,0,24,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,250",721,260,529,"1,250",689,160,470,0,32,100,59,"1,250",657,60,411,,,,,,,132,"2,760",,TRUE
AF (Al Fakher),Gum With Mint,✕,Mint,,549,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,196,,,,196,,,,,,,,0,,,,,,,0,196,103,-,,,103,,,,,1,,,250,,,,,,,0,353,,,250,0,361,170,0,0,139,80,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,0,0,361,420,0,0,196,353,0,0,165,67,0,0,31,286,,,,,,,219,781,,TRUE
AF (Al Fakher),Kiwi,◯,Normal,1,"2,559",-,-,-,-,0,,,,,5,,,"1,250",,,,,,,0,"1,250",181,-,,,181,,,,,1,,,250,,,,,,,0,431,205,,,,205,,,,,,,,0,,,,,,,0,205,173,-,,,173,,,,,2,,,500,,,,,,,0,673,,,"1,250",478,69,705,0,23,321,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,250",478,69,705,"1,250",431,205,673,0,47,-136,32,"1,250",384,341,641,,,,,,,380,"2,502",,TRUE
AF (Al Fakher),Mint,◯,Mint,2,"2,038",-,-,-,-,0,,,,,1,,,250,,,,,,,0,250,264,271,,,535,,,,,1,,,250,,,,,,,0,785,97,,,,97,,,,,1,,,250,,,,,,,0,347,157,249,,,406,,,,,1,,,250,,,,,,,0,656,,,500,878,492,546,0,119,146,34,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,250,878,492,796,250,785,347,656,0,93,145,140,250,692,202,516,,,,,,,299,"2,416",,TRUE
AF (Al Fakher),(パチ) Mint,△,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,9,41,0,0,44,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,9,41,0,0,0,0,0,0,9,41,0,0,-9,-41,,,,,,,166,50,,TRUE
AF (Al Fakher),Orange,◯,Normal,2,"1,551",-,-,-,-,0,,,,,1,,,250,,,,,,,0,250,228,-,,,228,,,,,1,,,250,,,,,,,0,478,38,,,,38,,,,,1,,,250,,,,,,,0,288,258,277,,,535,,,,,,,,0,,,,,,,0,535,,,500,520,240,619,0,55,286,85,,,,,,,,,,,,,,,,,-250,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,250,0,250,520,490,619,250,478,288,535,0,42,202,84,250,436,86,451,,,,,,,426,"1,879",,TRUE
AF (Al Fakher),(パチ) Orange,△,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
