ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,03/30,,,TRUE,03/30,,,TRUE,03/30,,佐賀県に持って行くぞ✈️,TRUE,03/30,,,TRUE,03/31,,,TRUE,03/31,,,TRUE,04/01,,,TRUE,04/04,,,TRUE,04/08,,,TRUE,04/15,,我慢できずに吸った。,TRUE,04/15,,,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AZ (Afzal),Earlgray,◯,Strong,2,"2,948",-,-,-,-,0,,,,,6,,,"1,500",,,,,,,0,"1,500",145,218,,,363,6,,,,,,,300,,,,,,,0,663,194,,,,194,,,,,,,,0,,,,,,,0,194,129,212,,,341,,,,,1,,,250,,,,,,,0,591,,,"1,750",780,366,461,0,94,281,156,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,"1,500",780,366,711,"1,500",663,194,591,0,117,172,120,"1,500",546,22,471,,,,,,,531,"3,357",,TRUE
AZ (Afzal),Gingerale,◯,Normal,1,"1,018",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,254,-,,,254,,,,,,,,0,,,,,,,0,254,192,,,,192,5,,,,,,,250,,,,,,,0,442,222,100,,,322,,,,,,,,0,,,,,,,0,322,,,0,299,495,384,0,36,56,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,299,495,384,0,254,442,322,0,45,53,62,0,209,389,260,,,,,,,175,"1,178",,TRUE
AZ (Afzal),Lychee,✕,Normal,,299,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,36,,,,36,,,,,,,,0,,,,,,,0,36,13,-,,,13,,,,,,,,0,5,,,,,,250,263,,,0,0,38,263,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,38,263,0,0,36,263,0,0,2,0,0,0,34,263,,,,,,,4,301,,TRUE
AZ (Afzal),Pan Raas,✕,Strong,,900,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,7,,,,,,350,350,,,,,0,,,,,,,,0,6,,,,,,300,300,-,-,,,0,,,,,,,,0,5,,,,,,250,250,,,0,350,350,250,0,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,350,350,250,0,350,300,250,0,0,50,0,0,350,250,250,,,,,,,50,950,,TRUE
AZ (Afzal),Red Cherry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,0,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Alaskan Ice,◯,Mint,2,"13,353",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",117,270,,,387,,1,,,,,,100,,4,,,,,400,887,189,204,,,393,,,,,,,,0,,5,,,,,500,893,44,229,,,273,,8,,,,,,800,,5,,,,,500,"1,573",,,"11,000","1,129",682,"1,227",0,225,416,409,,,,,-500,,,500,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",0,500,500,"10,000","1,129","1,182","1,727","10,000",887,893,"1,573",0,242,289,154,"10,000",645,604,"1,419",,,,,,,"1,050","14,038",,TRUE
AZR GOLD (Azure Gold Line),Apple Cider,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Barista'S Choice,◯,Sweet,1,"8,668",-,-,-,-,0,,65,,,,,,"6,500",,,,,,,0,"6,500",141,-,,,141,,1,,,,,,100,,5,,,,,500,741,220,,,,220,,,,,,,,0,,4,,,,,400,620,207,-,,,207,,1,,,,,,100,,5,,,,,500,807,,,"7,000",767,281,873,0,62,297,66,,,,,,,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"6,500",767,781,873,"6,500",741,620,807,0,26,161,66,"6,500",715,459,741,,,,,,,425,"8,921",,TRUE
AZR GOLD (Azure Gold Line),Bermuda Mint,◯,Mint,1,"12,603",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",158,225,,,383,,5,,,,,,500,,5,,,,,500,"1,383",48,223,,,271,,,,,,,,0,,2,,,,,200,471,35,214,,,249,,3,,,,,,300,,2,,,,,200,749,,,"10,500","1,758",843,960,0,152,372,510,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"10,000","1,758",843,"1,460","10,000","1,383",471,749,0,375,372,711,"10,000","1,008",99,38,,,,,,,"1,034","14,061",,TRUE
AZR BLACK (Azure Black Line),Bermuda Mint(Black),✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Berrymania,◯,Strong,,"12,725",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",124,-,,,124,,2,,,,,,200,,5,,,,,500,824,27,,,,27,,,,,,,,0,,1,,,,,100,127,174,-,,,174,,1,,,,,,100,,5,,,,,500,774,,,"11,000",860,326,856,0,32,295,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"11,000",860,326,856,"11,000",824,127,774,0,36,199,82,"11,000",788,-72,692,,,,,,,423,"13,042",,TRUE
AZR GOLD (Azure Gold Line),Black Tea,◯,Strong,,"10,521",-,-,-,-,0,,75,,,,,,"7,500",,,,,,,0,"7,500",147,-,,,147,,4,,,,,,400,,5,,,,,500,"1,047",116,,,,116,,,,,,,,0,,5,,,,,500,616,158,-,,,158,,7,,,,,,700,,5,,,,,500,"1,358",,,"8,500",560,141,"1,369",0,126,119,-169,,,,,,,,,,,,,-500,500,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,500,0,"7,500","1,060",641,"1,369","7,500","1,047",616,"1,358",0,13,25,11,"7,500","1,034",591,"1,347",,,,,,,76,"10,570",,TRUE
AZR GOLD (Azure Gold Line),California Blue,◯,Normal,1,44,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,,,0,,,,,,,,0,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,0,0,44,-,,,44,,,,,,,,0,,,,,,,0,44,,,0,0,0,58,0,0,42,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,58,0,0,0,44,0,0,0,14,0,0,0,30,,,,,,,55,58,,TRUE
AZR BLACK (Azure Black Line),California Blue (Black),✕,Normal,,"1,882",-,-,-,-,0,,3,,,,,,300,,,,,,,0,300,72,-,,,72,,3,,,,,,300,,1,,,,,100,472,30,,,,30,,,,,,,,0,,1,,,,,100,130,80,-,,,80,,4,,,,,,400,,5,,,,,500,980,,,300,495,164,"1,004",0,12,96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,300,495,164,"1,004",300,472,130,980,0,23,34,24,300,449,96,956,,,,,,,110,"1,963",,TRUE
AZR GOLD (Azure Gold Line),Carolina Peach,◯,Normal,1,"10,630",-,-,-,-,0,,75,,,,,,"7,500",,,,,,,0,"7,500",230,-,,,230,,1,,,,,,100,,5,,,,,500,830,224,,,,224,,5,,,,,,500,,6,,,,,600,"1,324",176,-,,,176,,3,,,,,,300,,5,,,,,500,976,,,"7,500",880,"1,395","1,108",0,39,59,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"7,500",880,"1,395","1,108","7,500",830,"1,324",976,0,50,71,132,"7,500",780,"1,253",844,,,,,,,349,"10,883",,TRUE
AZR GOLD (Azure Gold Line),Chai Masala,◯,Strong,1,"17,213",-,-,-,-,0,,145,,,,,,"14,500",,,,,,,0,"14,500",186,-,,,186,,1,,,,,,100,,5,,,,,500,786,271,,,,271,,,,,,,,0,,4,,,,,400,671,156,-,,,156,,6,,,,,,600,,5,,,,,500,"1,256",,,"15,000",898,708,775,0,17,31,60,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"14,500",898,708,"1,275","14,500",786,671,"1,256",0,112,37,19,"14,500",674,634,"1,237",,,,,,,108,"17,381",,TRUE
AZR GOLD (Azure Gold Line),Chocolate Cake,◯,Sweet,,"11,757",-,-,-,-,0,,90,,,,,,"9,000",,,,,,,0,"9,000",256,-,,,256,,,,,,,,0,,5,,,,,500,756,114,,,,114,,,,,,,,0,,4,,,,,400,514,187,-,,,187,,8,,,,,,800,,5,,,,,500,"1,487",,,"9,500",793,604,"1,085",0,37,172,198,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"9,000",793,604,"1,585","9,000",756,514,"1,487",0,37,90,98,"9,000",719,424,"1,389",,,,,,,407,"11,982",,TRUE
AZR GOLD (Azure Gold Line),Chocolate Mint,◯,Sweet,1,"13,867",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",237,-,,,237,,5,,,,,,500,,5,,,,,500,"1,237",155,,,,155,,,,,,,,0,,5,,,,,500,655,175,-,,,175,,3,,,,,,300,,5,,,,,500,975,,,"11,500",789,816,955,0,155,294,98,,,,,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,0,0,"11,000","1,289",816,955,"11,000","1,237",655,975,0,52,161,-20,"11,000","1,185",494,995,,,,,,,547,"14,060",,TRUE
AZR GOLD (Azure Gold Line),Cinnamon Cookies,◯,Sweet,1,"10,914",-,-,-,-,0,,85,,,,,,"8,500",,,,,,,0,"8,500",255,161,,,416,,1,,,,,,100,,5,,,,,500,"1,016",72,,,,72,,,,,,,,0,,4,,,,,400,472,126,-,,,126,,3,,,,,,300,,5,,,,,500,926,,,"8,500","1,043",523,970,0,31,152,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"8,500","1,043",523,970,"8,500","1,016",472,926,0,27,51,44,"8,500",989,421,882,,,,,,,318,"11,036",,TRUE
AZR GOLD (Azure Gold Line),Cocomania,◯,Normal,1,186,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,28,-,,,28,,,,,,,,0,,,,,,,0,28,68,,,,68,,,,,,,,0,,,,,,,0,68,90,-,,,90,,,,,,,,0,,,,,,,0,90,,,0,77,93,113,0,12,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,77,93,113,0,28,68,90,0,49,25,23,0,-21,43,67,,,,,,,36,283,,TRUE
AZR GOLD (Azure Gold Line),Copacabana,✕,Normal,,167,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,94,-,,,94,,,,,,,,0,,,,,,,0,94,7,,,,7,,,,,,,,0,,,,,,,0,7,66,-,,,66,,,,,,,,0,,,,,,,0,66,,,0,93,20,65,0,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,93,20,65,0,94,7,66,0,-1,13,-1,0,95,-6,67,,,,,,,13,178,,TRUE
AZR GOLD (Azure Gold Line),Cucumelon,✕,Normal,,120,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,64,,,,64,,,,,,,,0,,,,,,,0,64,56,-,,,56,,,,,,,,0,,,,,,,0,56,,,0,0,114,0,0,0,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-50,50,0,0,64,50,0,0,64,56,0,0,0,-6,0,0,64,62,,,,,,,20,114,,TRUE
AZR GOLD (Azure Gold Line),D Cherry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Down Under,◯,Normal,2,"16,589",-,-,-,-,0,,130,,,,,,"13,000",,,,,,,0,"13,000",151,276,,,427,,8,,,,,,800,,5,,,,,500,"1,727",117,,,,117,,,,,,,,0,,5,,,,,500,617,207,238,,,445,,3,,,,,,300,,5,,,,,500,"1,245",,,"13,000","1,820","1,068","1,397",0,53,365,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"13,000","1,820","1,068","1,397","13,000","1,727",617,"1,245",0,93,451,152,"13,000","1,634",166,"1,093",,,,,,,741,"17,285",,TRUE
AZR BLACK (Azure Black Line),Down Under (Black),✕,Normal,,"2,088",-,-,-,-,0,,4,,,,,,400,,,,,,,0,400,82,-,,,82,,,,,,,,0,,1,,,,,100,182,1,,,,1,,,,,,,,0,,4,,,,,400,401,105,-,,,105,,5,,,,,,500,,5,,,,,500,"1,105",,,400,421,522,"1,187",0,298,262,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,400,421,522,"1,187",400,182,401,"1,105",0,239,121,82,400,-57,280,"1,023",,,,,,,604,"2,530",,TRUE
AZR BLACK (Azure Black Line),Dubai Apple (Black),✕,Strong,,"2,695",-,-,-,-,0,,13,,,,,,"1,300",,,,,,,0,"1,300",34,-,,,34,,3,,,,,,300,,1,,,,,100,434,3,,,,3,,,,,,,,0,,4,,,,,400,403,58,-,,,58,,,,,,,,0,,5,,,,,500,558,,,"1,500",543,632,477,0,3,147,125,,,,,-200,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,0,0,200,"1,300",543,632,677,"1,300",434,403,558,0,109,229,119,"1,300",325,174,439,,,,,,,275,"3,152",,TRUE
AZR GOLD (Azure Gold Line),Grapefruit,◯,Normal,2,"18,510",-,-,-,-,0,,150,,,,,,"15,000",,,,,,,0,"15,000",154,210,,,364,,4,,,,,,400,,4,,,,,400,"1,164",123,,,,123,,4,,,,,,400,,6,,,,,600,"1,123",171,252,,,423,,3,,,,,,300,,5,,,,,500,"1,223",,,"15,500",909,"1,342","1,416",0,217,300,243,,,,,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,0,0,"15,000","1,409","1,342","1,416","15,000","1,164","1,123","1,223",0,245,219,193,"15,000",919,904,"1,030",,,,,,,760,"19,167",,TRUE
AZR GOLD (Azure Gold Line),Green Tea,◯,Normal,2,"19,610",-,-,-,-,0,,170,,,,,,"17,000",,,,,,,0,"17,000",168,211,,,379,,4,,,,,,400,,4,,,,,400,"1,179",90,216,,,306,,,,,,,,0,,2,,,,,200,506,212,13,,,225,,3,,,,,,300,,4,,,,,400,925,,,"17,000","1,340",978,"1,331",0,46,246,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"17,000","1,340",978,"1,331","17,000","1,179",506,925,0,161,472,406,"17,000","1,018",34,519,,,,,,,774,"20,649",,TRUE
AZR BLACK (Azure Black Line),Green Tea (Black),✕,Normal,,"5,022",-,-,-,-,0,,30,,,,,,"3,000",,,,,,,0,"3,000",29,-,,,29,,4,,,,,,400,,1,,,,,100,529,21,,,,21,,2,,,,,,200,,5,,,,,500,721,72,-,,,72,,2,,,,,,200,,5,,,,,500,772,,,"3,000",535,853,778,0,27,35,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"3,000",535,853,778,"3,000",529,721,772,0,6,132,6,"3,000",523,589,766,,,,,,,173,"5,166",,TRUE
AZR GOLD (Azure Gold Line),Guavi,◯,Normal,1,"4,409",-,-,-,-,0,,20,,,,,,"2,000",,,,,,,0,"2,000",160,-,,,160,,3,,,,,,300,,5,,,,,500,960,174,,,,174,,,,,,,,0,,,,,,,0,174,175,-,,,175,,6,,,,,,600,,5,,,,,500,"1,275",,,"3,000",514,796,860,0,24,491,63,,,,,-500,,,500,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,0,500,"2,000","1,014",796,"1,360","2,000",960,174,"1,275",0,54,622,85,"2,000",906,-448,"1,190",,,,,,,578,"5,170",,TRUE
AZR GOLD (Azure Gold Line),Ice Lime,✕,Normal,,"4,116",-,-,-,-,0,,25,,,,,,"2,500",,,,,,,0,"2,500",174,-,,,174,,1,,,,,,100,,2,,,,,200,474,216,,,,216,,,,,,,,0,,3,,,,,300,516,181,145,,,326,,,,,,,,0,,3,,,,,300,626,,,"4,500",753,357,"1,031",0,747,"1,143","1,469",,,,,-500,,,500,,,,,-500,500,,,"-1,000",,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000",500,"1,000",500,"2,500","1,253","1,357","1,531","2,500",474,516,626,0,779,841,905,"2,500",-305,-325,-279,,,,,,,"3,359","6,641",,TRUE
AZR GOLD (Azure Gold Line),Ice Pear,◯,Normal,1,"18,432",-,-,-,-,0,,155,,,,,,"15,500",,,,,,,0,"15,500",93,240,,,333,,2,,,,,,200,,5,,,,,500,"1,033",200,,,,200,,5,,,,,,500,,3,,,,,300,"1,000",50,249,,,299,,6,,,,,,600,,,,,,,0,899,,,"15,500","1,175","1,300",989,0,103,224,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"15,500","1,175","1,300",989,"15,500","1,033","1,000",899,0,142,300,90,"15,500",891,700,809,,,,,,,435,"18,964",,TRUE
AZR BLACK (Azure Black Line),Island City Blend(Black),✕,Strong,,"7,658",-,-,-,-,0,,55,,,,,,"5,500",,,,,,,0,"5,500",100,-,,,100,,8,,,,,,800,,1,,,,,100,"1,000",100,,,,100,,,,,,,,0,,3,,,,,300,400,58,-,,,58,,2,,,,,,200,,5,,,,,500,758,,,"5,500","1,040",520,"1,020",0,100,339,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"5,500","1,040",520,"1,020","5,500","1,000",400,758,0,40,120,262,"5,500",960,280,496,,,,,,,569,"8,080",,TRUE
AZR GOLD (Azure Gold Line),Jasmine,◯,Strong,2,"18,079",-,-,-,-,0,,155,,,,,,"15,500",,,,,,,0,"15,500",111,-,,,111,,5,,,,,,500,,5,,,,,500,"1,111",238,,,,238,,,,,,,,0,,,,,,,0,238,89,241,,,330,,4,,,,,,400,,5,,,,,500,"1,230",,,"16,000","1,159",646,839,0,44,125,238,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"15,500","1,159",646,"1,339","15,500","1,111",238,"1,230",0,48,408,109,"15,500","1,063",-170,"1,121",,,,,,,407,"18,644",,TRUE
AZR GOLD (Azure Gold Line),Jungle Juice,◯,Normal,1,"6,138",-,-,-,-,0,,35,,,,,,"3,500",,,,,,,0,"3,500",282,-,,,282,,,,,,,,0,,5,,,,,500,782,166,,,,166,,4,,,,,,400,,5,,,,,500,"1,066",90,-,,,90,,2,,,,,,200,,5,,,,,500,790,,,"3,500",889,"1,170",871,0,33,354,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"3,500",889,"1,170",871,"3,500",782,"1,066",790,0,107,104,81,"3,500",675,962,709,,,,,,,438,"6,430",,TRUE
AZR GOLD (Azure Gold Line),Kokutou,◯,Sweet,2,"18,899",-,-,-,-,0,,165,,,,,,"16,500",,,,,,,0,"16,500",99,285,,,384,,1,,,,,,100,,5,,,,,500,984,113,,,,113,,,,,,,,0,,5,,,,,500,613,82,220,,,302,,1,,,,,,100,,4,,,,,400,802,,,"16,500","1,258",996,"1,052",0,60,248,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"16,500","1,258",996,"1,052","16,500",984,613,802,0,274,383,250,"16,500",710,230,552,,,,,,,733,"19,806",,TRUE
