ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)移動: 2/2(月),,,,(2)移動: 2/1(日),,,,(3)移動: 2/3(火),,,,(4)移動: 2/3(火),,,,(5)移動: 2/5(木),,,,(6)移動: 2/5(木),,,,(7)移動: 2/13(金),,,,(8)廃棄: 2/13(金),,,,(9)移動: 2/17(火),,,,(10)移動: 2/17(火),,,,(11),,,,(12),,,,(13),,,,(14),,,,(15),,,,(16),,,,(17),,,,(18),,,,(19),,,,(20),,,,(21),,,,(22),,,,(23),,,,(24),,,,(25),,,,(26),,,,(27),,,,(28),,,,(29),,,,(30),,,,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,,,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,,事務所,本店,中野店,馬場2,,前月消費量総計,移動後の暫定値総計,,
AF (Al Fakher),Grapefruit With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Grenadine,✕,Strong,,369,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,221,-,-,-,221,2,,,,,,,100,,,,,,,0,321,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,48,-,-,-,48,,,,,,,,0,,,,,,,0,48,,,0,339,0,86,0,13,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,339,0,86,0,321,0,48,0,18,0,38,0,303,0,10,,,,,,,63,425,,TRUE
AF (Al Fakher),Guava,◯,Strong,1,"2,892",-,-,-,-,0,,,,,5,,,"1,250",,,,,,,0,"1,250",245,-,-,-,245,,,,,2,,,500,,,,,,,0,745,82,-,-,-,82,,,,,1,,,250,,,,,,,0,332,65,-,-,-,65,,,,,2,,,500,,,,,,,0,565,,,"1,250",803,371,625,0,59,78,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,250",803,371,625,"1,250",745,332,565,0,58,39,60,"1,250",687,293,505,,,,,,,154,"3,049",,TRUE
AF (Al Fakher),Gum With Mint,✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8,0,,TRUE
AF (Al Fakher),Kiwi,◯,Normal,1,"2,882",-,-,-,-,0,,,,,6,,,"1,500",,,,,,,0,"1,500",251,-,-,-,251,,,,,1,,,250,,,,,,,0,501,140,-,-,-,140,,,,,1,,,250,,,,,,,0,390,241,-,-,-,241,,,,,1,,,250,,,,,,,0,491,,,"1,500",533,450,539,0,70,57,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,500",533,450,539,"1,500",501,390,491,0,32,60,48,"1,500",469,330,443,,,,,,,186,"3,022",,TRUE
AF (Al Fakher),Mint,◯,Mint,2,"2,715",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",211,286,-,-,497,,,,,,,,0,,,,,,,0,497,138,0,-,-,138,,,,,2,,,500,,,,,,,0,638,76,254,-,-,330,,,,,1,,,250,,,,,,,0,580,,,"2,000",168,326,597,0,203,168,15,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,500,0,"1,000",668,826,597,"1,000",497,638,580,0,171,188,17,"1,000",326,450,563,,,,,,,386,"3,091",,TRUE
AF (Al Fakher),(パチ) Mint,△,Mint,,216,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,53,-,-,-,53,,,,,,,,0,,,,,,,0,53,163,-,-,-,163,,,,,,,,0,,,,,,,0,163,,,0,0,121,258,0,0,53,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,121,258,0,0,53,163,0,0,68,95,0,0,-15,68,,,,,,,116,379,,TRUE
AF (Al Fakher),Orange,◯,Normal,2,"2,305",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",75,-,-,-,75,,,,,1,,,250,,,,,,,0,325,26,0,-,-,26,,,,,2,,,500,,,,,,,0,526,194,260,-,-,454,,,,,,,,0,,,,,,,0,454,,,"1,000",357,693,484,0,71,151,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,000",357,693,484,"1,000",325,526,454,0,32,167,30,"1,000",293,359,424,,,,,,,265,"2,534",,TRUE
AF (Al Fakher),(パチ) Orange,△,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Peach,◯,Normal,1,"1,467",-,-,-,-,0,,,,,2,,,500,,,,,,,0,500,84,-,-,-,84,,,,,1,,,250,,,,,,,0,334,218,-,-,-,218,,,,,,,,0,,,,,,,0,218,165,-,-,-,165,,,,,1,,,250,,,,,,,0,415,,,500,365,308,477,0,25,115,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,500,365,308,477,500,334,218,415,0,31,90,62,500,303,128,353,,,,,,,223,"1,650",,TRUE
