ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)移動: 11/29(土),,,,(2)移動: 11/29(土),,,,(3)移動: 12/3(水),,,,(4)移動: 12/3(水),,,,(5)移動: 12/3(水),,,,(6)廃棄: 12/5(金),,,,(7)移動: 12/5(金),,,,(8)移動: 12/6(土),,,,(9)移動: 12/10(水),,,,(10)移動: 12/10(水),,,,(11)移動: 12/11(木),,,,(12)移動: 12/11(木),,,,(13)移動: 12/14(日),,,,(14)移動: 12/15(月),,,,(15)移動: 12/15(月),,,,(16)廃棄: 12/15(月),,,,(17)移動: 12/18(木),,,,(18)入荷: 12/18(木),,,,(19)移動: 12/18(木),,,,(20)移動: 12/18(木),,,,(21)移動: 12/21(日),,,,(22),,,,(23),,,,(24),,,,(25),,,,(26),,,,(27),,,,(28),,,,(29),,,,(30),,,,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,
,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,,,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,,事務所,本店,中野店,馬場2,,前月消費量総計,移動後の暫定値総計
AF (Al Fakher),Grapefruit With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
AF (Al Fakher),Grenadine,✕,Strong,,488,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,252,-,-,-,252,2,,,,,,,100,,,,,,,0,352,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,136,-,-,-,136,,,,,,,,0,,,,,,,0,136,,,0,381,0,163,0,23,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,381,0,163,0,352,0,136,0,29,0,27,0,323,0,109,,,,,,,37,544
AF (Al Fakher),Guava,◯,Strong,1,"3,203",-,-,-,-,0,,,,,5,,,"1,250",,,,,,,0,"1,250",112,-,-,-,112,,,,,3,,,750,,,,,,,0,862,199,-,-,-,199,,,,,1,,,250,,,,,,,0,449,142,-,-,-,142,,,,,2,,,500,,,,,,,0,642,,,"1,500",877,327,682,0,32,107,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,250,0,"1,250",877,577,682,"1,250",862,449,642,0,15,128,40,"1,250",847,321,602,,,,,,,181,"3,386"
AF (Al Fakher),Gum With Mint,✕,Mint,,8,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,8,-,-,-,8,,,,,,,,0,,,,,,,0,8,,,0,0,148,181,0,0,102,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,148,181,0,0,0,8,0,0,148,173,0,0,-148,-165,,,,,,,171,329
AF (Al Fakher),Kiwi,◯,Normal,1,"3,208",-,-,-,-,0,,,,,6,,,"1,500",,,,,,,0,"1,500",103,-,-,-,103,,,,,2,,,500,,,,,,,0,603,257,-,-,-,257,,,,,1,,,250,,,,,,,0,507,98,-,-,-,98,,,,,2,,,500,,,,,,,0,598,,,"1,500",584,551,656,0,25,50,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,500",584,551,656,"1,500",603,507,598,0,-19,44,58,"1,500",622,463,540,,,,,,,112,"3,291"
AF (Al Fakher),Mint,◯,Mint,2,"3,477",-,-,-,-,0,,,,,9,,,"2,250",,,,,,,0,"2,250",73,298,-,-,371,,,,,,,,0,,,,,,,0,371,244,0,-,-,244,,,,,1,,,250,,,,,,,0,494,108,254,-,-,362,,,,,,,,0,,,,,,,0,362,,,"2,250",401,536,414,0,128,42,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"2,250",401,536,414,"2,250",371,494,362,0,30,42,52,"2,250",341,452,310,,,,,,,208,"3,601"
AF (Al Fakher),(パチ) Mint,△,Mint,,495,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,174,-,-,-,174,,,,,,,,0,,,,,,,0,174,159,162,-,-,321,,,,,,,,0,,,,,,,0,321,,,0,160,243,280,0,29,95,93,,,,,,-158,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-158,0,158,0,2,243,438,0,0,174,321,0,2,69,117,0,-2,105,204,,,,,,,217,683
AF (Al Fakher),Orange,◯,Normal,2,"2,799",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",178,-,-,-,178,,,,,1,,,250,,,,,,,0,428,94,0,-,-,94,,,,,3,,,750,,,,,,,0,844,267,260,-,-,527,,,,,,,,0,,,,,,,0,527,,,"1,500",416,474,573,0,16,149,17,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"1,000",416,974,573,"1,000",428,844,527,0,-12,130,46,"1,000",440,714,481,,,,,,,182,"2,963"
AF (Al Fakher),(パチ) Orange,△,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
AF (Al Fakher),Peach,◯,Normal,1,"1,873",-,-,-,-,0,,,,,3,,,750,,,,,,,0,750,140,-,-,-,140,,,,,1,,,250,,,,,,,0,390,173,-,-,-,173,,,,,1,,,250,,,,,,,0,423,60,-,-,-,60,,,,,1,,,250,,,,,,,0,310,,,"1,000",401,469,127,0,24,31,74,,,,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,750,401,469,377,750,390,423,310,0,11,46,67,750,379,377,243,,,,,,,129,"1,997"
