ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)入荷: 12/26(金),,,,(2)移動: 12/28(日),,,,(3)移動: 1/4(日),,,,(4)移動: 1/5(月),,,,(5)廃棄: 1/1(木),,,,(6)廃棄: 1/1(木),,,,(7)移動: 1/5(月),,,,(8)移動: 1/5(月),,,,(9)移動: 1/9(金),,,,(10)移動: 1/9(金),,,,(11)移動: 1/18(日),,,,(12)移動: 1/20(火),,,,(13)移動: 1/22(木),,,,(14)移動: 1/23(金),,,,(15)廃棄: 1/25(日),,,,(16),,,,(17),,,,(18),,,,(19),,,,(20),,,,(21),,,,(22),,,,(23),,,,(24),,,,(25),,,,(26),,,,(27),,,,(28),,,,(29),,,,(30),,,,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,,,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,,事務所,本店,中野店,馬場2,,前月消費量総計,移動後の暫定値総計,,
AF (Al Fakher),Grapefruit With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Grenadine,✕,Strong,,425,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,239,-,-,-,239,2,,,,,,,100,,,,,,,0,339,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,86,-,-,-,86,,,,,,,,0,,,,,,,0,86,,,0,352,0,136,0,29,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,352,0,136,0,339,0,86,0,13,0,50,0,326,0,36,,,,,,,56,488,,TRUE
AF (Al Fakher),Guava,◯,Strong,1,"3,049",-,-,-,-,0,,,,,5,,,"1,250",,,,,,,0,"1,250",53,-,-,-,53,,,,,3,,,750,,,,,,,0,803,121,-,-,-,121,,,,,1,,,250,,,,,,,0,371,125,-,-,-,125,,,,,2,,,500,,,,,,,0,625,,,"1,250",862,449,642,0,15,128,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,250",862,449,642,"1,250",803,371,625,0,59,78,17,"1,250",744,293,608,,,,,,,183,"3,203",,TRUE
AF (Al Fakher),Gum With Mint,✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,8,0,0,148,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,-8,,,,,,,321,8,,TRUE
AF (Al Fakher),Kiwi,◯,Normal,1,"3,022",-,-,-,-,0,,,,,6,,,"1,500",,,,,,,0,"1,500",283,-,-,-,283,,,,,1,,,250,,,,,,,0,533,200,-,-,-,200,,,,,1,,,250,,,,,,,0,450,289,-,-,-,289,,,,,1,,,250,,,,,,,0,539,,,"1,500",603,507,598,0,-19,44,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,500",603,507,598,"1,500",533,450,539,0,70,57,59,"1,500",463,393,480,,,,,,,83,"3,208",,TRUE
AF (Al Fakher),Mint,◯,Mint,2,"3,091",-,-,-,-,0,,,,,8,,,"2,000",,,,,,,0,"2,000",153,15,-,-,168,,,,,,,,0,,,,,,,0,168,76,0,-,-,76,,,,,1,,,250,,,,,,,0,326,93,254,-,-,347,,,,,1,,,250,,,,,,,0,597,,,"2,250",371,494,362,0,30,42,52,,,,,,,,,,,,,,,,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,"2,000",371,494,612,"2,000",168,326,597,0,203,168,15,"2,000",-35,158,582,,,,,,,124,"3,477",,TRUE
AF (Al Fakher),(パチ) Mint,△,Mint,,379,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,121,-,-,-,121,,,,,,,,0,,,,,,,0,121,96,162,-,-,258,,,,,,,,0,,,,,,,0,258,,,0,0,174,321,0,2,69,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,174,321,0,0,121,258,0,0,53,63,0,0,68,195,,,,,,,188,495,,TRUE
AF (Al Fakher),Orange,◯,Normal,2,"2,534",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",107,-,-,-,107,,,,,1,,,250,,,,,,,0,357,193,0,-,-,193,,,,,2,,,500,,,,,,,0,693,224,260,-,-,484,,,,,,,,0,,,,,,,0,484,,,"1,000",428,844,527,0,-12,130,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,000",428,844,527,"1,000",357,693,484,0,71,151,43,"1,000",286,542,441,,,,,,,164,"2,799",,TRUE
AF (Al Fakher),(パチ) Orange,△,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Peach,◯,Normal,1,"1,650",-,-,-,-,0,,,,,2,,,500,,,,,,,0,500,115,-,-,-,115,,,,,1,,,250,,,,,,,0,365,58,-,-,-,58,,,,,1,,,250,,,,,,,0,308,227,-,-,-,227,,,,,1,,,250,,,,,,,0,477,,,750,390,423,310,0,11,46,67,,,,,,,,,,,,,,,,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,500,390,423,560,500,365,308,477,0,25,115,83,500,340,193,394,,,,,,,124,"1,873",,TRUE
